Alex_Venditti_Left_1.c3d  



Time(s):	B_R_bicipite(μV):
0.65	19.63806
0.6505	26.78833
0.651	17.82532
0.6515	16.21399
0.652	13.69629
0.6525	16.71753
0.653	16.81824
0.6535	8.25806
0.654	-7.45239
0.6545	-12.48779
0.655	-14.09912
0.6555	-13.69629
0.656	-22.15576
0.6565	-32.12585
0.657	-28.09753
0.6575	-29.91028
0.658	-18.12744
0.6585	-17.82532
0.659	-5.13611
0.6595	-4.93469
0.66	-14.90479
0.6605	-27.6947
0.661	-33.13293
0.6615	-35.65063
0.662	-34.03931
0.6625	-29.70886
0.663	-16.3147
0.6635	-19.83948
0.664	-11.78284
0.6645	-1.81274
0.665	4.02832
0.6655	4.73328
0.666	11.2793
0.6665	13.89771
0.667	7.15027
0.6675	-6.3446
0.668	-13.29346
0.6685	-19.13452
0.669	-2.61841
0.6695	2.81982
0.67	-7.15027
0.6705	-4.33044
0.671	3.42407
0.6715	14.60266
0.672	23.26355
0.6725	26.98975
0.673	32.02515
0.6735	39.07471
0.674	44.91577
0.6745	43.90869
0.675	41.18958
0.6755	47.23206
0.676	40.08179
0.6765	40.98816
0.677	44.31152
0.6775	38.06763
0.678	36.55701
0.6785	36.05347
0.679	29.10461
0.6795	23.46497
0.68	19.43665
0.6805	17.32178
0.681	19.94019
0.6815	6.2439
0.682	-10.57434
0.6825	-24.87488
0.683	-31.01807
0.6835	-29.70886
0.684	-28.29895
0.6845	-25.68054
0.685	-27.19116
0.6855	-13.59558
0.686	-9.16443
0.6865	-7.04956
0.687	-24.37134
0.6875	-71.40198
0.688	-93.35632
0.6885	-94.46411
0.689	-102.82288
0.6895	-107.65686
0.69	-98.79456
0.6905	-133.74023
0.691	-224.47815
0.6915	-266.27197
0.692	-259.32312
0.6925	-219.64417
0.693	-161.93848
0.6935	-106.14624
0.694	-50.2533
0.6945	-8.45947
0.695	26.48621
0.6955	58.30994
0.696	103.72925
0.6965	149.34998
0.697	172.71423
