Niccolo_Morelli_Right_1.c3d  



Time(s):	C_R_bicipite(μV):
0.252	109.67102
0.2525	97.38464
0.253	76.94092
0.2535	66.87012
0.254	58.41064
0.2545	43.90869
0.255	37.26196
0.2555	31.21948
0.256	23.06213
0.2565	4.93469
0.257	-19.83948
0.2575	25.88196
0.258	75.4303
0.2585	104.83704
0.259	110.47668
0.2595	78.95508
0.26	37.16125
0.2605	11.2793
0.261	-16.21399
0.2615	-29.60815
0.262	-51.26038
0.2625	-56.79932
0.263	-55.08728
0.2635	-58.51135
0.264	-66.26587
0.2645	-83.08411
0.265	-75.83313
0.2655	-79.86145
0.266	-78.35083
0.2665	-78.25012
0.267	-73.91968
0.2675	-61.73401
0.268	-44.31152
0.2685	-33.83789
0.269	-26.68762
0.2695	-13.89771
0.27	-7.75452
0.2705	10.27222
0.271	27.49329
0.2715	32.32727
0.272	40.08179
0.2725	46.22498
0.273	49.34692
0.2735	48.03772
0.274	44.81506
0.2745	43.10303
0.275	49.14551
0.2755	43.00232
0.276	44.61365
0.2765	48.13843
0.277	46.62781
0.2775	43.50586
0.278	39.07471
0.2785	34.74426
0.279	19.13452
0.2795	2.5177
0.28	-15.81116
0.2805	-27.99683
0.281	-38.67188
0.2815	-42.29736
0.282	-38.87329
0.2825	-35.54993
0.283	-42.09595
0.2835	-39.77966
0.284	-37.66479
0.2845	-44.11011
0.285	-38.47046
0.2855	-38.87329
0.286	-33.9386
0.2865	-27.89612
0.287	-20.04089
0.2875	-5.94177
0.288	0.80566
0.2885	8.8623
0.289	22.76001
0.2895	28.70178
0.29	34.14001
0.2905	31.52161
0.291	31.72302
0.2915	22.55859
0.292	20.24231
0.2925	25.37842
0.293	27.09045
0.2935	22.15576
0.294	26.98975
0.2945	36.05347
0.295	43.50586
0.2955	43.10303
0.296	34.64355
0.2965	25.27771
0.297	25.177
0.2975	21.04797
0.298	13.49487
0.2985	9.06372
0.299	5.74036
0.2995	6.14319
0.3	0.30212
0.3005	-1.40991
0.301	-3.92761
0.3015	-6.2439
0.302	-4.43115
0.3025	-9.36584
0.303	-14.30054
0.3035	-11.07788
0.304	-15.00549
0.3045	-17.22107
0.305	-11.88354
0.3055	-14.70337
0.306	-13.09204
0.3065	-11.78284
0.307	-7.45239
0.3075	-5.53894
0.308	1.10779
0.3085	9.06372
0.309	23.16284
0.3095	35.54993
0.31	44.11011
0.3105	41.08887
0.311	34.74426
0.3115	27.99683
0.312	3.7262
0.3125	-23.8678
0.313	-46.12427
0.3135	-60.12268
0.314	-84.2926
0.3145	-115.51208
0.315	-141.89758
0.3155	-151.66626
0.316	-153.98254
0.3165	-144.41528
0.317	-135.25085
0.3175	-118.02979
0.318	-95.16907
0.3185	-71.60339
0.319	-49.14551
0.3195	-26.3855
0.32	-13.09204
0.3205	0.90637
0.321	15.60974
0.3215	34.74426
0.322	48.33984
0.3225	39.47754
0.323	14.09912
0.3235	35.2478
0.324	55.3894
0.3245	73.01331
0.325	68.17932
0.3255	63.74817
0.326	66.36658
0.3265	84.2926
0.327	90.73792
0.3275	90.63721
0.328	60.72693
0.3285	19.53735
0.329	-31.21948
0.3295	-67.57507
0.33	-89.83154
0.3305	-91.04004
0.331	-77.64587
0.3315	-63.74817
0.332	-42.90161
0.3325	-21.55151
0.333	4.63257
0.3335	20.44373
0.334	30.61523
0.3345	38.67188
0.335	46.92993
0.3355	43.20374
0.336	45.2179
0.3365	49.44763
0.337	58.61206
0.3375	71.20056
0.338	73.81897
0.3385	72.71118
0.339	80.26428
0.3395	87.21313
0.34	93.15491
0.3405	95.47119
0.341	97.68677
0.3415	84.69543
0.342	64.45312
0.3425	55.99365
0.343	41.4917
0.3435	34.24072
0.344	20.44373
0.3445	13.89771
0.345	3.02124
0.3455	-0.20142
0.346	0.80566
0.3465	4.73328
0.347	-3.7262
0.3475	-7.45239
0.348	-13.09204
0.3485	-12.48779
0.349	-20.24231
0.3495	-20.64514
0.35	-26.18408
0.3505	-35.14709
0.351	-39.07471
0.3515	-45.92285
0.352	-36.05347
0.3525	-36.85913
0.353	-35.75134
0.3535	-28.60107
0.354	-26.58691
0.3545	-22.15576
0.355	-23.96851
0.3555	-24.57275
0.356	-26.08337
0.3565	-31.21948
0.357	-29.30603
0.3575	-23.06213
0.358	-19.43665
0.3585	-9.66797
0.359	4.12903
0.3595	14.70337
0.36	23.26355
0.3605	22.76001
0.361	20.34302
0.3615	19.63806
0.362	3.22266
0.3625	4.02832
0.363	1.91345
0.3635	-3.8269
0.364	-13.09204
0.3645	-17.72461
0.365	-21.75293
0.3655	-13.29346
0.366	-6.14319
0.3665	-3.22266
0.367	3.7262
0.3675	2.21558
0.368	-1.10779
0.3685	-20.64514
0.369	-28.29895
0.3695	-27.39258
0.37	-24.77417
0.3705	-26.08337
0.371	-23.76709
0.3715	-29.91028
0.372	-21.75293
0.3725	-22.55859
0.373	-19.33594
0.3735	-19.63806
0.374	-27.99683
0.3745	-28.29895
0.375	-22.55859
0.3755	-17.6239
0.376	-20.34302
0.3765	-22.6593
0.377	-16.61682
0.3775	-20.44373
0.378	-17.82532
0.3785	-11.58142
0.379	-15.60974
0.3795	-14.50195
0.38	-16.01257
0.3805	-13.59558
0.381	-17.01965
0.3815	-17.42249
0.382	-13.89771
0.3825	-18.8324
0.383	-13.797
0.3835	-21.55151
0.384	-20.34302
0.3845	-27.6947
0.385	-30.61523
0.3855	-38.26904
0.386	-32.42798
0.3865	-27.99683
0.387	-20.1416
0.3875	-15.40833
0.388	-12.99133
0.3885	-13.09204
0.389	-7.15027
0.3895	-9.26514
0.39	-1.51062
0.3905	-6.3446
0.391	-4.02832
0.3915	-4.22974
0.392	-13.29346
0.3925	-14.09912
0.393	-15.40833
0.3935	-16.61682
0.394	-20.54443
0.3945	-20.44373
0.395	-24.06921
0.3955	-19.13452
0.396	-18.32886
0.3965	-15.40833
0.397	-12.5885
0.3975	-9.76868
0.398	-14.50195
0.3985	-9.97009
0.399	-10.0708
0.3995	-5.23682
0.4	7.04956
0.4005	16.51611
0.401	13.29346
0.4015	9.66797
0.402	15.91187
0.4025	13.99841
0.403	4.33044
0.4035	-2.92053
0.404	-3.8269
0.4045	-1.81274
0.405	2.81982
0.4055	-1.10779
0.406	-1.61133
0.4065	-9.66797
0.407	-6.94885
0.4075	-5.23682
0.408	-6.94885
0.4085	-0.60425
0.409	-8.25806
0.4095	-9.56726
0.41	-8.25806
0.4105	-10.0708
0.411	-8.96301
0.4115	-2.11487
0.412	-2.01416
0.4125	0.70496
0.413	0.30212
0.4135	6.74744
0.414	6.84814
0.4145	8.05664
0.415	17.82532
0.4155	28.9032
0.416	32.93152
0.4165	20.24231
0.417	13.69629
0.4175	-9.26514
0.418	-24.67346
0.4185	-30.91736
0.419	-37.26196
0.4195	-35.85205
0.42	-39.37683
0.4205	-47.13135
0.421	-49.85046
0.4215	-45.62073
0.422	-39.07471
0.4225	-26.88904
0.423	-18.02673
0.4235	-5.94177
0.424	4.93469
0.4245	15.50903
0.425	29.91028
0.4255	35.44922
0.426	37.66479
0.4265	37.7655
0.427	43.80798
0.4275	43.60657
0.428	42.29736
0.4285	51.26038
0.429	48.23914
0.4295	49.34692
0.43	46.42639
0.4305	38.57117
0.431	37.26196
0.4315	32.7301
0.432	19.43665
0.4325	17.32178
0.433	17.82532
0.4335	11.2793
0.434	14.09912
0.4345	11.58142
0.435	4.12903
0.4355	4.02832
0.436	6.04248
0.4365	6.94885
0.437	4.83398
0.4375	11.17859
0.438	19.94019
0.4385	15.50903
0.439	22.35718
0.4395	18.32886
0.44	16.21399
0.4405	15.60974
0.441	8.35876
0.4415	5.74036
0.442	8.15735
0.4425	3.12195
0.443	2.61841
0.4435	2.5177
0.444	4.93469
0.4445	5.84106
0.445	5.0354
0.4455	8.15735
0.446	7.5531
0.4465	7.25098
0.447	13.49487
0.4475	9.36584
0.448	3.02124
0.4485	1.10779
0.449	-2.31628
0.4495	-5.84106
0.45	-8.25806
0.4505	-19.23523
0.451	-27.49329
0.4515	-34.14001
0.452	-30.61523
0.4525	-23.26355
0.453	-20.74585
0.4535	-22.86072
0.454	-23.16284
0.4545	-26.88904
0.455	-17.72461
0.4555	-15.00549
0.456	-7.85522
0.4565	-7.04956
0.457	-4.93469
0.4575	1.2085
0.458	5.0354
0.4585	8.8623
0.459	9.36584
0.4595	18.02673
0.46	12.18567
0.4605	11.17859
0.461	16.91895
0.4615	13.09204
0.462	11.78284
0.4625	3.62549
0.463	2.01416
0.4635	1.71204
0.464	-3.8269
0.4645	1.61133
0.465	8.45947
0.4655	5.0354
0.466	8.35876
0.4665	1.3092
0.467	1.10779
0.4675	0.20142
0.468	-2.71912
0.4685	-8.7616
0.469	-15.1062
0.4695	-19.43665
0.47	-19.53735
0.4705	-21.85364
0.471	-23.66638
0.4715	-25.27771
0.472	-27.59399
0.4725	-19.63806
0.473	-18.22815
0.4735	-19.73877
0.474	-16.01257
0.4745	-13.49487
0.475	-13.797
0.4755	-2.92053
0.476	10.67505
0.4765	6.94885
0.477	4.43115
0.4775	4.43115
0.478	-0.40283
0.4785	0.60425
0.479	-6.14319
0.4795	-6.14319
0.48	-2.71912
0.4805	-3.12195
0.481	-6.84814
0.4815	-0.10071
0.482	-3.62549
0.4825	-0.60425
0.483	3.42407
0.4835	10.17151
0.484	15.30762
0.4845	16.71753
0.485	18.53027
0.4855	23.36426
0.486	33.13293
0.4865	31.11877
0.487	26.68762
0.4875	15.91187
0.488	11.07788
0.4885	13.49487
0.489	9.16443
0.4895	12.5885
0.49	10.47363
0.4905	8.45947
0.491	3.02124
0.4915	5.33752
0.492	-3.12195
0.4925	-5.84106
0.493	-11.07788
0.4935	-10.77576
0.494	-10.0708
0.4945	-18.32886
0.495	-10.57434
0.4955	-15.71045
0.496	-12.18567
0.4965	-12.18567
0.497	-8.66089
0.4975	1.00708
0.498	-4.22974
0.4985	-5.74036
0.499	-7.65381
0.4995	-15.81116
0.5	-22.25647
0.5005	-21.24939
0.501	-27.49329
0.5015	-21.55151
0.502	-24.87488
0.5025	-16.81824
0.503	-17.42249
0.5035	-9.16443
0.504	0.30212
0.5045	3.12195
0.505	10.67505
0.5055	6.94885
0.506	17.12036
0.5065	20.74585
0.507	16.3147
0.5075	23.26355
0.508	24.57275
0.5085	25.88196
0.509	30.71594
0.5095	29.40674
0.51	28.80249
0.5105	21.85364
0.511	15.1062
0.5115	12.78992
0.512	15.00549
0.5125	11.07788
0.513	5.74036
0.5135	10.47363
0.514	19.53735
0.5145	21.95435
0.515	12.08496
0.5155	13.19275
0.516	17.72461
0.5165	8.25806
0.517	13.19275
0.5175	7.65381
0.518	9.16443
0.5185	10.47363
0.519	8.15735
0.5195	9.26514
0.52	10.67505
0.5205	10.17151
0.521	13.797
0.5215	5.23682
0.522	12.89062
0.5225	8.7616
0.523	13.39417
0.5235	19.33594
0.524	21.14868
0.5245	18.63098
0.525	19.13452
0.5255	20.34302
0.526	13.797
0.5265	16.61682
0.527	12.08496
0.5275	17.22107
0.528	11.88354
0.5285	11.58142
0.529	18.32886
0.5295	21.04797
0.53	20.1416
0.5305	27.39258
0.531	22.96143
0.5315	32.42798
0.532	33.63647
0.5325	33.83789
0.533	33.73718
0.5335	35.44922
0.534	33.33435
0.5345	30.81665
0.535	31.11877
0.5355	29.80957
0.536	36.95984
0.5365	32.52869
0.537	31.01807
0.5375	27.99683
0.538	16.51611
0.5385	6.3446
0.539	3.12195
0.5395	-8.35876
0.54	-17.32178
0.5405	-22.15576
0.541	-28.29895
0.5415	-29.40674
0.542	-38.87329
0.5425	-40.38391
0.543	-45.92285
0.5435	-47.7356
0.544	-53.47595
0.5445	-53.87878
0.545	-51.26038
0.5455	-49.74976
0.546	-43.60657
0.5465	-45.01648
0.547	-39.88037
0.5475	-33.63647
0.548	-35.34851
0.5485	-27.39258
0.549	-24.16992
0.5495	-24.16992
0.55	-18.93311
0.5505	-15.91187
0.551	-7.75452
0.5515	-12.89062
0.552	-11.88354
0.5525	-9.26514
0.553	-10.37292
0.5535	-9.76868
0.554	-4.53186
0.5545	-4.12903
0.555	-2.11487
0.5555	-5.84106
0.556	1.40991
0.5565	6.54602
0.557	0.30212
0.5575	4.73328
0.558	3.12195
0.5585	5.63965
0.559	3.02124
0.5595	6.84814
0.56	7.15027
0.5605	10.37292
0.561	11.98425
0.5615	11.17859
0.562	15.30762
0.5625	15.30762
0.563	18.32886
0.5635	21.45081
0.564	20.94727
0.5645	27.49329
0.565	26.58691
0.5655	22.55859
0.566	19.83948
0.5665	17.82532
0.567	23.76709
0.5675	19.73877
0.568	19.63806
0.5685	21.55151
0.569	18.73169
0.5695	20.1416
0.57	16.81824
0.5705	18.22815
0.571	10.57434
0.5715	10.0708
0.572	14.09912
0.5725	9.46655
0.573	0.30212
0.5735	0.70496
0.574	-0.30212
0.5745	3.62549
0.575	-1.51062
0.5755	-7.95593
0.576	-3.8269
0.5765	-4.22974
0.577	-4.02832
0.5775	-6.14319
0.578	-2.81982
0.5785	-6.14319
0.579	-13.09204
0.5795	-16.41541
0.58	-15.81116
0.5805	-17.42249
0.581	-14.70337
0.5815	-16.61682
0.582	-8.56018
0.5825	-7.15027
0.583	-6.3446
0.5835	-2.81982
0.584	-2.71912
0.5845	-2.41699
0.585	-0.40283
0.5855	-4.22974
0.586	-2.11487
0.5865	-0.50354
0.587	-3.62549
0.5875	-3.52478
0.588	-2.01416
0.5885	-2.01416
0.589	-0.90637
0.5895	-1.3092
0.59	0.60425
0.5905	0.10071
0.591	-4.43115
0.5915	-1.51062
0.592	-6.54602
0.5925	-5.23682
0.593	-4.43115
0.5935	-1.91345
0.594	2.41699
0.5945	1.91345
0.595	-0.90637
