Daniele_De_Santis_Left_2.c3d  



Time(s):	C_L_bicipite(μV):
0.4285	7.65381
0.429	6.84814
0.4295	8.66089
0.43	7.95593
0.4305	9.66797
0.431	8.25806
0.4315	7.15027
0.432	6.14319
0.4325	7.04956
0.433	5.94177
0.4335	5.84106
0.434	4.33044
0.4345	10.27222
0.435	7.85522
0.4355	6.84814
0.436	8.96301
0.4365	10.17151
0.437	5.63965
0.4375	7.25098
0.438	4.12903
0.4385	8.45947
0.439	12.28638
0.4395	13.89771
0.44	7.65381
0.4405	8.35876
0.441	3.02124
0.4415	9.16443
0.442	8.56018
0.4425	12.99133
0.443	8.56018
0.4435	9.26514
0.444	7.95593
0.4445	12.28638
0.445	13.19275
0.4455	8.25806
0.446	8.05664
0.4465	5.94177
0.447	6.74744
0.4475	6.3446
0.448	8.96301
0.4485	6.84814
0.449	7.95593
0.4495	10.0708
0.45	5.94177
0.4505	11.2793
0.451	4.02832
0.4515	4.63257
0.452	9.36584
0.4525	2.21558
0.453	4.22974
0.4535	5.94177
0.454	6.44531
0.4545	4.22974
0.455	5.63965
0.4555	9.06372
0.456	7.25098
0.4565	3.42407
0.457	6.44531
0.4575	6.44531
0.458	0.60425
0.4585	7.5531
0.459	6.84814
0.4595	2.11487
0.46	3.12195
0.4605	-3.22266
0.461	2.5177
0.4615	8.7616
0.462	8.8623
0.4625	6.84814
0.463	5.74036
0.4635	5.74036
0.464	4.93469
0.4645	6.44531
0.465	10.77576
0.4655	3.12195
0.466	-0.30212
0.4665	0.80566
0.467	0.40283
0.4675	3.8269
0.468	3.32336
0.4685	9.66797
0.469	0.20142
0.4695	2.5177
0.47	7.35168
0.4705	6.84814
0.471	10.87646
0.4715	2.41699
0.472	1.71204
0.4725	4.63257
0.473	6.64673
0.4735	7.04956
0.474	6.2439
0.4745	2.41699
0.475	3.02124
0.4755	-0.40283
0.476	1.2085
0.4765	3.7262
0.477	2.5177
0.4775	4.43115
0.478	2.92053
0.4785	2.5177
0.479	1.71204
0.4795	2.81982
0.48	3.12195
0.4805	3.12195
0.481	6.2439
0.4815	6.64673
0.482	9.46655
0.4825	10.0708
0.483	5.94177
0.4835	5.33752
0.484	8.8623
0.4845	7.45239
0.485	8.35876
0.4855	4.22974
0.486	10.37292
0.4865	5.63965
0.487	5.23682
0.4875	6.64673
0.488	3.7262
0.4885	6.3446
0.489	2.01416
0.4895	7.35168
0.49	7.45239
0.4905	5.53894
0.491	3.12195
0.4915	1.2085
0.492	-2.71912
0.4925	3.12195
0.493	5.74036
0.4935	1.00708
0.494	3.22266
0.4945	2.71912
0.495	-2.5177
0.4955	3.12195
0.496	4.73328
0.4965	8.05664
0.497	2.81982
0.4975	0.40283
0.498	0.10071
0.4985	5.84106
0.499	2.01416
0.4995	0.90637
0.5	4.02832
0.5005	8.8623
0.501	5.63965
0.5015	8.05664
0.502	3.52478
0.5025	3.12195
0.503	2.41699
0.5035	-0.30212
0.504	1.3092
0.5045	5.23682
0.505	3.92761
0.5055	3.62549
0.506	3.52478
0.5065	3.92761
0.507	2.61841
0.5075	6.84814
0.508	2.61841
0.5085	-0.40283
0.509	1.61133
0.5095	0.80566
0.51	1.00708
0.5105	4.12903
0.511	3.22266
0.5115	1.3092
0.512	0
0.5125	-2.71912
0.513	5.13611
0.5135	4.93469
0.514	1.71204
0.5145	6.14319
0.515	-1.00708
0.5155	-5.13611
0.516	-1.61133
0.5165	2.61841
0.517	-0.10071
0.5175	2.61841
0.518	-2.11487
0.5185	-0.20142
0.519	2.21558
0.5195	-1.10779
0.52	-1.51062
0.5205	-0.10071
0.521	-0.50354
0.5215	2.01416
0.522	1.51062
0.5225	3.52478
0.523	4.93469
0.5235	5.94177
0.524	3.12195
0.5245	2.81982
0.525	5.63965
0.5255	5.23682
0.526	3.62549
0.5265	3.42407
0.527	6.84814
0.5275	11.38
0.528	7.35168
0.5285	9.36584
0.529	6.14319
0.5295	6.84814
0.53	6.2439
0.5305	9.56726
0.531	4.02832
0.5315	0.80566
0.532	-4.12903
0.5325	2.81982
0.533	5.63965
0.5335	1.40991
0.534	3.52478
0.5345	7.04956
0.535	8.05664
0.5355	7.35168
0.536	7.25098
0.5365	5.0354
0.537	3.52478
0.5375	0.50354
0.538	8.25806
0.5385	3.42407
0.539	3.7262
0.5395	7.45239
0.54	8.45947
0.5405	1.3092
0.541	4.53186
0.5415	2.71912
0.542	0.20142
0.5425	3.42407
0.543	7.75452
0.5435	5.0354
0.544	7.04956
0.5445	3.8269
0.545	9.46655
0.5455	11.88354
0.546	8.8623
0.5465	5.94177
0.547	0.90637
0.5475	1.81274
0.548	4.33044
0.5485	4.93469
0.549	5.84106
0.5495	1.40991
0.55	4.33044
0.5505	4.63257
0.551	10.47363
0.5515	5.43823
0.552	-0.70496
0.5525	4.12903
0.553	6.54602
0.5535	4.83398
0.554	5.94177
0.5545	8.66089
0.555	7.95593
0.5555	6.44531
0.556	2.21558
0.5565	0.80566
0.557	11.38
0.5575	4.83398
0.558	8.56018
0.5585	8.56018
0.559	5.0354
0.5595	4.12903
0.56	2.21558
0.5605	3.92761
0.561	10.47363
0.5615	6.44531
0.562	10.0708
0.5625	6.44531
0.563	8.66089
0.5635	10.97717
0.564	3.52478
0.5645	7.15027
0.565	7.25098
0.5655	5.63965
0.566	9.66797
0.5665	4.53186
0.567	1.51062
0.5675	-2.11487
0.568	2.01416
0.5685	7.75452
0.569	2.5177
0.5695	6.44531
0.57	6.44531
0.5705	5.94177
0.571	13.09204
0.5715	11.68213
0.572	6.94885
0.5725	7.5531
0.573	7.75452
0.5735	7.5531
0.574	11.68213
0.5745	7.85522
0.575	3.12195
0.5755	11.68213
0.576	3.8269
0.5765	3.02124
0.577	3.12195
0.5775	6.54602
0.578	4.93469
0.5785	4.43115
0.579	7.25098
0.5795	7.85522
0.58	7.15027
0.5805	9.06372
0.581	9.46655
0.5815	10.37292
0.582	12.48779
0.5825	5.94177
0.583	9.46655
0.5835	7.45239
0.584	10.37292
0.5845	6.04248
0.585	6.04248
0.5855	6.04248
0.586	9.76868
0.5865	12.48779
0.587	11.48071
0.5875	9.66797
0.588	7.45239
0.5885	13.89771
0.589	11.48071
0.5895	13.29346
0.59	9.06372
0.5905	6.2439
0.591	9.36584
0.5915	12.68921
0.592	2.01416
0.5925	1.3092
0.593	0.80566
0.5935	0.40283
0.594	4.93469
0.5945	8.15735
0.595	3.12195
0.5955	7.45239
0.596	7.04956
0.5965	8.15735
0.597	1.61133
0.5975	6.04248
0.598	3.32336
0.5985	4.43115
0.599	2.31628
0.5995	5.74036
0.6	9.26514
0.6005	2.41699
0.601	7.5531
0.6015	5.63965
0.602	2.5177
0.6025	5.53894
0.603	8.96301
0.6035	14.80408
0.604	10.57434
0.6045	9.76868
0.605	7.35168
0.6055	5.23682
0.606	4.43115
0.6065	7.35168
0.607	5.33752
0.6075	10.27222
0.608	6.14319
0.6085	8.8623
0.609	4.53186
0.6095	5.63965
0.61	-0.40283
0.6105	1.00708
0.611	6.3446
0.6115	7.85522
0.612	2.61841
0.6125	10.17151
0.613	2.81982
0.6135	2.11487
0.614	6.74744
0.6145	4.33044
0.615	-0.70496
0.6155	2.41699
0.616	4.53186
0.6165	6.44531
0.617	5.53894
0.6175	5.23682
0.618	8.56018
0.6185	8.96301
0.619	6.94885
0.6195	3.12195
