Domenico_Di_Fonza_Right_1.c3d  



Time(s):	C_R_bicipite(μV):
0.285	-34.24072
0.2855	-29.10461
0.286	-17.6239
0.2865	-1.3092
0.287	16.51611
0.2875	20.84656
0.288	29.10461
0.2885	31.01807
0.289	25.57983
0.2895	25.68054
0.29	19.43665
0.2905	16.21399
0.291	21.85364
0.2915	16.81824
0.292	18.63098
0.2925	13.99841
0.293	13.29346
0.2935	5.53894
0.294	-13.09204
0.2945	-24.77417
0.295	-29.80957
0.2955	-38.36975
0.296	-41.08887
0.2965	-53.77808
0.297	-70.69702
0.2975	-94.16199
0.298	-98.0896
0.2985	-99.60022
0.299	-90.5365
0.2995	-71.90552
0.3	-46.12427
0.3005	-35.54993
0.301	-24.57275
0.3015	-7.45239
0.302	-8.66089
0.3025	-18.12744
0.303	-9.36584
0.3035	-1.81274
0.304	10.97717
0.3045	23.8678
0.305	46.92993
0.3055	77.14233
0.306	97.88818
0.3065	123.16589
0.307	143.00537
0.3075	135.15015
0.308	121.75598
0.3085	122.05811
0.309	115.10925
0.3095	110.07385
0.31	93.96057
0.3105	65.96375
0.311	34.44214
0.3115	8.05664
0.312	-3.22266
0.3125	-9.06372
0.313	-11.88354
0.3135	-15.81116
0.314	-27.99683
0.3145	-27.19116
0.315	-19.53735
0.3155	-11.17859
0.316	-0.80566
0.3165	-0.10071
0.317	6.94885
0.3175	10.37292
0.318	11.68213
0.3185	2.31628
0.319	-3.42407
0.3195	-16.21399
0.32	-20.44373
0.3205	-15.81116
0.321	-32.32727
0.3215	-51.26038
0.322	-64.05029
0.3225	-81.27136
0.323	-71.7041
0.3235	-64.85596
0.324	-49.64905
0.3245	-40.38391
0.325	-39.57825
0.3255	-26.98975
0.326	-29.70886
0.3265	-31.4209
0.327	-35.14709
0.3275	-35.2478
0.328	-30.2124
0.3285	-31.82373
0.329	-35.54993
0.3295	-29.20532
0.33	-37.66479
0.3305	-27.09045
0.331	-12.78992
0.3315	-4.73328
0.332	5.94177
0.3325	10.17151
0.333	-3.32336
0.3335	-1.3092
0.334	-3.22266
0.3345	-5.13611
0.335	-13.39417
0.3355	-24.67346
0.336	-27.99683
0.3365	-10.17151
0.337	-18.12744
0.3375	-32.83081
0.338	-34.64355
0.3385	16.01257
0.339	82.17773
0.3395	119.33899
0.34	134.74731
0.3405	138.77563
0.341	129.30908
0.3415	123.77014
0.342	117.12341
0.3425	97.88818
0.343	67.07153
0.3435	23.06213
0.344	10.57434
0.3445	2.5177
0.345	0.80566
0.3455	-2.31628
0.346	-4.63257
0.3465	-28.29895
0.347	-46.22498
0.3475	-52.67029
0.348	-70.79773
0.3485	-85.29968
0.349	-93.0542
0.3495	-89.42871
0.35	-101.8158
0.3505	-106.44836
0.351	-107.05261
0.3515	-100.6073
0.352	-81.7749
0.3525	-70.89844
0.353	-72.10693
0.3535	-71.30127
0.354	-73.61755
0.3545	-67.97791
0.355	-57.70569
0.3555	-49.44763
0.356	-32.32727
0.3565	-10.67505
0.357	37.26196
0.3575	69.79065
0.358	85.80322
0.3585	109.77173
0.359	139.98413
0.3595	130.51758
0.36	131.52466
0.3605	121.15173
0.361	100.80872
0.3615	89.93225
0.362	82.17773
0.3625	57.9071
0.363	24.16992
0.3635	-5.94177
0.364	-35.85205
0.3645	-79.86145
0.365	-107.85828
