Antonio_Festa_Left_3.c3d  



Time(s):	C_L_bicipite(μV):
0.5995	1.71204
0.6	-2.61841
0.6005	1.2085
0.601	0.20142
0.6015	-0.60425
0.602	0
0.6025	1.3092
0.603	2.11487
0.6035	2.21558
0.604	1.3092
0.6045	3.02124
0.605	2.81982
0.6055	6.74744
0.606	13.09204
0.6065	5.13611
0.607	-0.70496
0.6075	2.81982
0.608	1.61133
0.6085	1.91345
0.609	-0.30212
0.6095	1.81274
0.61	7.15027
0.6105	4.22974
0.611	4.12903
0.6115	0.70496
0.612	3.12195
0.6125	3.8269
0.613	1.2085
0.6135	9.16443
0.614	1.2085
0.6145	6.54602
0.615	1.71204
0.6155	3.52478
0.616	11.07788
0.6165	6.2439
0.617	6.04248
0.6175	6.14319
0.618	9.66797
0.6185	8.7616
0.619	10.17151
0.6195	6.84814
0.62	7.45239
0.6205	6.3446
0.621	3.8269
0.6215	10.47363
0.622	1.00708
0.6225	2.01416
0.623	9.46655
0.6235	9.66797
0.624	10.77576
0.6245	3.62549
0.625	4.83398
0.6255	4.02832
0.626	5.53894
0.6265	7.15027
0.627	4.22974
0.6275	5.0354
0.628	1.10779
0.6285	3.8269
0.629	6.3446
0.6295	-0.30212
0.63	3.92761
0.6305	2.21558
0.631	3.8269
0.6315	2.21558
0.632	1.10779
0.6325	5.94177
0.633	2.5177
0.6335	-0.10071
0.634	-2.81982
0.6345	-2.01416
0.635	-0.30212
0.6355	5.0354
0.636	5.53894
0.6365	4.83398
0.637	4.22974
0.6375	6.54602
0.638	0.70496
0.6385	4.63257
0.639	4.43115
0.6395	4.22974
0.64	4.43115
0.6405	2.11487
0.641	2.11487
0.6415	3.12195
0.642	10.27222
0.6425	9.16443
0.643	1.71204
0.6435	0
0.644	5.43823
0.6445	3.32336
0.645	4.63257
0.6455	3.12195
0.646	7.95593
0.6465	9.16443
0.647	1.10779
0.6475	3.7262
0.648	6.14319
0.6485	4.33044
0.649	6.84814
0.6495	7.95593
0.65	7.04956
0.6505	9.06372
0.651	12.38708
0.6515	5.23682
0.652	4.53186
0.6525	5.84106
0.653	3.7262
0.6535	3.8269
0.654	5.84106
0.6545	12.48779
0.655	8.7616
0.6555	3.92761
0.656	7.25098
0.6565	3.62549
0.657	9.26514
0.6575	8.15735
0.658	1.00708
0.6585	-0.10071
0.659	4.53186
0.6595	2.01416
0.66	1.40991
0.6605	9.97009
0.661	6.94885
0.6615	10.87646
0.662	8.56018
0.6625	5.74036
0.663	9.26514
0.6635	5.23682
0.664	4.02832
0.6645	7.15027
0.665	14.80408
0.6655	0.60425
0.666	10.27222
0.6665	12.08496
0.667	7.15027
0.6675	11.88354
0.668	4.33044
0.6685	8.05664
0.669	7.04956
0.6695	3.42407
0.67	6.64673
0.6705	5.63965
0.671	8.45947
0.6715	2.11487
0.672	5.13611
0.6725	5.63965
0.673	4.22974
0.6735	6.14319
0.674	3.52478
0.6745	2.92053
0.675	3.12195
0.6755	3.92761
0.676	6.44531
0.6765	3.52478
0.677	3.32336
0.6775	4.83398
0.678	8.45947
0.6785	4.93469
0.679	6.64673
0.6795	7.15027
0.68	12.99133
0.6805	5.23682
0.681	10.47363
0.6815	11.17859
0.682	9.86938
0.6825	10.97717
0.683	9.97009
0.6835	6.84814
0.684	6.94885
0.6845	7.95593
0.685	8.96301
0.6855	6.54602
0.686	10.27222
0.6865	9.36584
0.687	8.8623
0.6875	9.26514
0.688	3.32336
0.6885	1.61133
0.689	5.43823
0.6895	8.56018
0.69	2.41699
0.6905	3.62549
0.691	6.04248
0.6915	9.06372
0.692	5.63965
0.6925	7.04956
0.693	5.33752
0.6935	6.94885
0.694	6.74744
0.6945	7.15027
0.695	11.68213
0.6955	6.04248
0.696	4.02832
0.6965	7.25098
0.697	6.14319
0.6975	1.61133
0.698	10.0708
0.6985	5.74036
0.699	6.84814
0.6995	3.22266
0.7	8.96301
0.7005	10.57434
0.701	4.12903
0.7015	6.64673
0.702	5.0354
0.7025	8.45947
0.703	5.84106
0.7035	6.3446
0.704	4.43115
0.7045	11.07788
0.705	10.47363
0.7055	3.8269
0.706	3.8269
0.7065	3.7262
0.707	3.32336
0.7075	8.8623
0.708	7.95593
0.7085	6.74744
0.709	0.70496
0.7095	0.90637
0.71	1.91345
0.7105	1.3092
0.711	4.63257
0.7115	3.8269
0.712	0.50354
0.7125	2.71912
0.713	0.10071
0.7135	-3.02124
0.714	4.53186
0.7145	0.70496
0.715	3.42407
0.7155	3.92761
0.716	3.92761
0.7165	7.95593
0.717	6.94885
0.7175	7.04956
0.718	6.64673
0.7185	6.14319
0.719	3.02124
0.7195	0.60425
0.72	5.53894
0.7205	3.02124
0.721	4.02832
0.7215	4.53186
0.722	3.7262
0.7225	4.12903
0.723	2.41699
0.7235	3.52478
0.724	7.04956
0.7245	3.52478
0.725	5.0354
0.7255	10.0708
0.726	6.84814
0.7265	6.84814
0.727	1.00708
0.7275	4.02832
