Danilo_Mastropaolo_Right_1.c3d  



Time(s):	Emg_3(μV):
0.3575	34.94568
0.358	40.1825
0.3585	42.19666
0.359	33.03223
0.3595	33.73718
0.36	25.47913
0.3605	21.95435
0.361	13.59558
0.3615	3.92761
0.362	-4.22974
0.3625	-17.82532
0.363	-23.66638
0.3635	-28.29895
0.364	-30.31311
0.3645	-32.7301
0.365	-30.31311
0.3655	-29.80957
0.366	-22.76001
0.3665	-23.96851
0.367	-29.00391
0.3675	-25.37842
0.368	-20.94727
0.3685	-6.04248
0.369	-3.32336
0.3695	-0.70496
0.37	6.2439
0.3705	11.98425
0.371	21.75293
0.3715	24.06921
0.372	28.50037
0.3725	24.37134
0.373	34.54285
0.3735	34.74426
0.374	43.30444
0.3745	39.77966
0.375	44.31152
0.3755	39.77966
0.376	42.29736
0.3765	32.93152
0.377	27.39258
0.3775	20.44373
0.378	11.68213
0.3785	5.84106
0.379	-0.80566
0.3795	-9.16443
0.38	-9.16443
0.3805	-14.70337
0.381	-14.40125
0.3815	-17.22107
0.382	-20.84656
0.3825	-16.41541
0.383	-20.34302
0.3835	-14.80408
0.384	-4.02832
0.3845	-6.84814
0.385	-6.44531
0.3855	-1.61133
0.386	-3.8269
0.3865	-4.22974
0.387	-4.22974
0.3875	1.61133
0.388	5.43823
0.3885	3.12195
0.389	7.15027
0.3895	12.08496
0.39	12.48779
0.3905	15.30762
0.391	18.93311
0.3915	15.71045
0.392	20.74585
0.3925	17.6239
0.393	22.96143
0.3935	21.04797
0.394	21.95435
0.3945	26.78833
0.395	19.73877
0.3955	14.40125
0.396	13.39417
0.3965	11.78284
0.397	1.61133
0.3975	1.3092
0.398	-0.50354
0.3985	-1.40991
0.399	-3.02124
0.3995	2.21558
0.4	2.71912
0.4005	0.80566
0.401	8.66089
0.4015	5.43823
0.402	8.35876
0.4025	8.8623
0.403	6.64673
0.4035	7.35168
0.404	10.47363
0.4045	6.64673
0.405	4.33044
0.4055	6.54602
0.406	9.26514
0.4065	18.22815
0.407	24.06921
0.4075	22.45789
0.408	21.04797
0.4085	17.52319
0.409	18.02673
0.4095	11.68213
0.41	3.22266
0.4105	0.20142
0.411	-7.45239
0.4115	-7.75452
0.412	-8.66089
0.4125	-2.41699
0.413	3.52478
0.4135	3.8269
0.414	9.97009
0.4145	2.61841
0.415	3.52478
0.4155	-0.50354
0.416	3.92761
0.4165	-3.62549
0.417	10.67505
0.4175	12.28638
0.418	11.98425
0.4185	13.797
0.419	13.39417
0.4195	16.21399
0.42	22.96143
0.4205	25.68054
0.421	25.78125
0.4215	25.98267
0.422	31.92444
0.4225	30.91736
0.423	20.74585
0.4235	21.04797
0.424	24.67346
0.4245	24.16992
0.425	28.50037
0.4255	22.6593
0.426	25.68054
0.4265	21.65222
0.427	17.12036
0.4275	23.26355
0.428	18.42957
0.4285	25.57983
0.429	26.58691
0.4295	24.37134
0.43	24.77417
0.4305	23.8678
0.431	26.68762
0.4315	23.16284
0.432	29.60815
0.4325	29.00391
0.433	30.11169
0.4335	28.70178
0.434	26.18408
0.4345	26.88904
0.435	24.87488
0.4355	23.16284
0.436	16.01257
0.4365	15.81116
0.437	20.84656
0.4375	23.06213
0.438	27.39258
0.4385	26.08337
0.439	24.47205
0.4395	23.26355
0.44	20.84656
0.4405	23.96851
0.441	19.83948
0.4415	22.15576
0.442	17.22107
0.4425	19.33594
0.443	20.94727
0.4435	18.22815
0.444	23.06213
0.4445	21.95435
0.445	25.177
0.4455	22.15576
0.446	22.05505
0.4465	22.45789
0.447	22.86072
0.4475	16.21399
0.448	16.81824
0.4485	19.33594
0.449	15.1062
0.4495	31.52161
0.45	44.81506
0.4505	45.2179
0.451	48.03772
0.4515	47.33276
0.452	40.98816
0.4525	43.30444
0.453	41.69312
0.4535	38.26904
0.454	36.15417
0.4545	26.68762
0.455	10.87646
0.4555	10.57434
0.456	10.37292
0.4565	7.75452
0.457	3.7262
0.4575	-1.2085
0.458	1.51062
0.4585	1.71204
0.459	5.13611
0.4595	6.74744
0.46	5.94177
0.4605	9.76868
0.461	14.30054
0.4615	15.40833
0.462	19.23523
0.4625	19.53735
0.463	18.02673
0.4635	17.92603
0.464	24.37134
0.4645	20.54443
0.465	20.54443
0.4655	23.56567
0.466	19.13452
0.4665	18.42957
0.467	18.53027
0.4675	20.64514
0.468	19.33594
0.4685	25.27771
0.469	24.97559
0.4695	20.74585
0.47	22.55859
0.4705	17.6239
0.471	20.54443
0.4715	15.91187
0.472	18.42957
0.4725	18.12744
0.473	15.30762
0.4735	21.45081
0.474	13.29346
0.4745	16.51611
0.475	16.21399
0.4755	12.48779
0.476	16.01257
0.4765	15.60974
0.477	11.98425
0.4775	12.08496
0.478	12.89062
0.4785	10.77576
0.479	19.23523
0.4795	13.19275
0.48	19.53735
0.4805	18.93311
0.481	21.65222
0.4815	15.00549
0.482	14.40125
0.4825	17.92603
0.483	16.41541
0.4835	10.67505
0.484	8.05664
0.4845	11.07788
0.485	9.97009
0.4855	8.05664
0.486	8.66089
0.4865	6.54602
0.487	5.23682
0.4875	5.43823
0.488	6.44531
0.4885	0.90637
0.489	0.90637
0.4895	4.02832
0.49	1.91345
0.4905	1.51062
0.491	-2.31628
0.4915	-0.20142
0.492	-0.50354
0.4925	-3.12195
0.493	-3.02124
0.4935	-1.3092
0.494	-5.53894
0.4945	-2.21558
0.495	-0.50354
0.4955	-4.33044
0.496	-5.0354
0.4965	-5.84106
0.497	-13.49487
0.4975	-6.74744
0.498	-14.40125
0.4985	-15.71045
0.499	-14.30054
0.4995	-15.00549
0.5	-4.73328
0.5005	-10.27222
0.501	-10.47363
0.5015	-10.37292
0.502	-8.96301
0.5025	-7.95593
0.503	-7.15027
0.5035	-8.96301
0.504	-11.07788
0.5045	-7.04956
0.505	-11.98425
0.5055	-12.68921
0.506	-8.96301
0.5065	-10.77576
0.507	-16.51611
0.5075	-18.8324
0.508	-13.69629
0.5085	-19.73877
0.509	-24.27063
0.5095	-17.82532
0.51	-16.81824
0.5105	-14.09912
0.511	-16.61682
0.5115	-13.09204
0.512	-16.71753
0.5125	-13.89771
0.513	-14.19983
0.5135	-15.20691
0.514	-15.50903
0.5145	-15.81116
0.515	-21.75293
0.5155	-21.95435
0.516	-21.24939
0.5165	-25.27771
0.517	-23.06213
0.5175	-22.35718
0.518	-25.07629
0.5185	-30.2124
0.519	-22.76001
0.5195	-27.09045
0.52	-27.39258
0.5205	-26.3855
0.521	-29.70886
0.5215	-29.91028
0.522	-34.74426
0.5225	-25.177
0.523	-26.58691
0.5235	-27.49329
0.524	-24.57275
0.5245	-23.66638
0.525	-23.96851
0.5255	-24.77417
0.526	-28.19824
0.5265	-25.27771
0.527	-25.07629
0.5275	-27.99683
0.528	-31.72302
0.5285	-34.54285
0.529	-27.09045
0.5295	-27.39258
0.53	-30.91736
0.5305	-33.73718
0.531	-33.33435
0.5315	-34.94568
0.532	-34.14001
0.5325	-33.73718
0.533	-28.50037
0.5335	-31.32019
0.534	-29.60815
0.5345	-27.49329
0.535	-26.98975
0.5355	-19.43665
0.536	-20.64514
0.5365	-24.87488
0.537	-23.46497
0.5375	-20.24231
0.538	-24.27063
0.5385	-21.55151
0.539	-20.64514
0.5395	-22.15576
0.54	-23.16284
0.5405	-20.64514
0.541	-16.11328
0.5415	-19.13452
0.542	-18.53027
0.5425	-16.21399
0.543	-17.42249
0.5435	-12.48779
0.544	-10.87646
0.5445	-9.16443
0.545	-8.35876
0.5455	-9.06372
0.546	-3.32336
0.5465	-10.17151
0.547	-10.67505
0.5475	-12.89062
0.548	-7.85522
0.5485	-2.92053
0.549	1.40991
0.5495	0.80566
0.55	8.05664
0.5505	4.02832
0.551	10.47363
0.5515	15.40833
0.552	17.6239
0.5525	19.73877
0.553	16.71753
0.5535	17.12036
0.554	10.57434
0.5545	9.06372
0.555	9.46655
0.5555	-4.53186
0.556	-6.84814
0.5565	-15.1062
0.557	-19.03381
0.5575	-25.37842
0.558	-30.51453
0.5585	-37.36267
0.559	-33.83789
0.5595	-40.58533
0.56	-39.98108
0.5605	-40.48462
0.561	-41.99524
0.5615	-32.93152
0.562	-33.03223
0.5625	-31.21948
0.563	-31.11877
0.5635	-26.98975
0.564	-15.91187
0.5645	-5.63965
0.565	5.43823
0.5655	12.99133
0.566	21.45081
0.5665	25.78125
0.567	32.42798
0.5675	40.48462
0.568	32.32727
0.5685	25.07629
0.569	22.76001
0.5695	24.57275
0.57	33.83789
0.5705	42.09595
0.571	40.38391
0.5715	41.99524
0.572	43.50586
0.5725	39.77966
0.573	33.43506
0.5735	33.03223
0.574	32.22656
0.5745	31.82373
0.575	32.83081
0.5755	36.4563
0.576	25.68054
0.5765	28.60107
0.577	17.42249
0.5775	8.05664
0.578	0.90637
0.5785	-6.74744
0.579	-12.28638
0.5795	-20.94727
0.58	-25.07629
0.5805	-23.66638
0.581	-18.12744
0.5815	-13.89771
0.582	-10.57434
0.5825	-17.72461
0.583	-12.38708
0.5835	-5.0354
0.584	2.5177
0.5845	0.10071
0.585	10.47363
0.5855	13.49487
0.586	16.21399
0.5865	17.92603
0.587	19.94019
0.5875	21.85364
0.588	25.57983
0.5885	32.02515
0.589	26.98975
0.5895	27.09045
0.59	23.46497
0.5905	22.25647
0.591	12.78992
0.5915	9.66797
0.592	6.2439
0.5925	9.66797
0.593	9.97009
0.5935	10.47363
0.594	5.74036
0.5945	4.33044
0.595	2.71912
0.5955	-3.32336
0.596	-0.80566
0.5965	-2.21558
0.597	3.62549
0.5975	7.35168
0.598	15.20691
0.5985	25.177
0.599	19.63806
0.5995	28.29895
0.6	29.50745
0.6005	30.91736
0.601	35.2478
0.6015	34.24072
0.602	32.22656
0.6025	32.83081
0.603	22.05505
0.6035	11.88354
0.604	4.22974
0.6045	-1.3092
0.605	-7.95593
0.6055	-19.53735
0.606	-22.76001
0.6065	-20.1416
0.607	-22.35718
0.6075	-24.47205
0.608	-26.48621
0.6085	-25.78125
0.609	-17.72461
0.6095	-7.15027
0.61	2.61841
0.6105	-0.10071
0.611	6.3446
0.6115	8.05664
0.612	7.95593
0.6125	1.40991
0.613	4.53186
0.6135	5.53894
0.614	7.35168
0.6145	11.07788
0.615	5.53894
0.6155	7.65381
0.616	6.3446
0.6165	4.73328
0.617	8.96301
0.6175	10.17151
0.618	15.20691
0.6185	13.59558
0.619	8.05664
0.6195	12.78992
0.62	16.01257
0.6205	17.52319
0.621	12.38708
0.6215	11.98425
0.622	12.89062
0.6225	5.0354
0.623	2.01416
0.6235	0.70496
0.624	-7.85522
0.6245	-8.56018
0.625	-7.75452
0.6255	-10.27222
0.626	-12.38708
0.6265	-15.50903
0.627	-8.05664
0.6275	-8.56018
0.628	-12.28638
0.6285	-6.74744
0.629	-3.92761
0.6295	-2.31628
0.63	3.22266
0.6305	0.90637
0.631	0.80566
0.6315	5.53894
0.632	8.96301
0.6325	8.7616
0.633	0.80566
0.6335	4.53186
0.634	6.74744
0.6345	7.35168
0.635	0.60425
0.6355	2.92053
0.636	3.12195
0.6365	-2.61841
0.637	-2.92053
0.6375	-2.11487
0.638	-9.76868
0.6385	-11.68213
0.639	-12.89062
0.6395	-16.41541
0.64	-14.30054
0.6405	-5.43823
0.641	-9.86938
0.6415	-9.16443
0.642	2.31628
0.6425	3.62549
0.643	3.52478
0.6435	5.94177
0.644	10.27222
0.6445	23.36426
0.645	29.50745
0.6455	35.14709
0.646	38.87329
0.6465	36.15417
0.647	39.57825
0.6475	44.21082
0.648	47.93701
0.6485	54.48303
0.649	62.23755
0.6495	50.45471
0.65	56.49719
0.6505	49.95117
0.651	41.4917
0.6515	29.20532
0.652	27.89612
0.6525	16.3147
0.653	4.83398
0.6535	3.52478
0.654	-10.87646
0.6545	-19.73877
0.655	-34.34143
0.6555	-39.77966
0.656	-51.36108
0.6565	-60.62622
0.657	-59.92126
0.6575	-52.46887
0.658	-51.96533
0.6585	-50.354
0.659	-52.26746
0.6595	-45.3186
0.66	-39.27612
0.6605	-32.52869
0.661	-17.01965
0.6615	-10.97717
0.662	2.71912
0.6625	8.25806
0.663	11.68213
0.6635	19.73877
0.664	25.78125
0.6645	36.55701
0.665	35.95276
0.6655	42.09595
0.666	43.10303
0.6665	44.61365
0.667	41.69312
0.6675	42.39807
0.668	43.20374
0.6685	38.47046
0.669	39.88037
0.6695	44.91577
0.67	40.48462
0.6705	47.13135
0.671	58.71277
0.6715	62.03613
0.672	76.94092
0.6725	79.76074
0.673	79.2572
0.6735	94.2627
0.674	90.93933
0.6745	87.61597
0.675	88.62305
0.6755	75.83313
0.676	72.40906
0.6765	63.14392
0.677	57.50427
0.6775	46.32568
0.678	37.7655
0.6785	21.75293
0.679	9.46655
0.6795	1.51062
0.68	-8.45947
0.6805	-19.13452
0.681	-26.28479
0.6815	-31.92444
0.682	-40.58533
0.6825	-46.72852
0.683	-48.64197
0.6835	-55.18799
0.684	-54.68445
0.6845	-46.22498
0.685	-51.86462
0.6855	-48.33984
0.686	-31.92444
0.6865	-15.50903
0.687	-2.41699
0.6875	3.92761
0.688	4.33044
0.6885	8.45947
0.689	15.71045
0.6895	15.40833
0.69	17.6239
0.6905	28.39966
0.691	25.57983
0.6915	28.60107
0.692	25.57983
0.6925	29.50745
0.693	33.63647
0.6935	29.00391
0.694	29.70886
0.6945	26.88904
0.695	25.47913
0.6955	19.53735
0.696	12.5885
0.6965	20.34302
0.697	17.12036
0.6975	18.12744
0.698	19.53735
0.6985	26.18408
0.699	23.76709
0.6995	21.95435
0.7	19.13452
0.7005	24.06921
0.701	23.46497
0.7015	23.26355
0.702	26.28479
0.7025	25.68054
0.703	35.04639
0.7035	26.98975
0.704	17.92603
0.7045	18.63098
0.705	21.04797
0.7055	17.42249
0.706	17.6239
0.7065	22.15576
0.707	20.24231
0.7075	20.64514
