Alessio_Russo_Left_1.c3d  



Time(s):	C_R_bicipite(μV):
0.2545	38.26904
0.255	59.01489
0.2555	81.7749
0.256	97.48535
0.2565	90.23438
0.257	68.38074
0.2575	49.54834
0.258	21.04797
0.2585	-8.7616
0.259	-23.36426
0.2595	-36.4563
0.26	-48.54126
0.2605	-61.73401
0.261	-62.64038
0.2615	-71.09985
0.262	-76.23596
0.2625	-76.7395
0.263	-63.14392
0.2635	-53.57666
0.264	-44.41223
0.2645	-34.74426
0.265	-33.83789
0.2655	-31.21948
0.266	-24.87488
0.2665	-19.53735
0.267	-22.05505
0.2675	-17.6239
0.268	-16.41541
0.2685	-15.71045
0.269	-5.84106
0.2695	-5.23682
0.27	2.21558
0.2705	4.12903
0.271	7.65381
0.2715	2.81982
0.272	1.00708
0.2725	6.2439
0.273	13.797
0.2735	14.80408
0.274	15.20691
0.2745	13.99841
0.275	20.34302
0.2755	57.10144
0.276	80.66711
0.2765	81.57349
0.277	71.50269
0.2775	60.62622
0.278	41.29028
0.2785	16.91895
0.279	-4.43115
0.2795	-16.41541
0.28	-29.50745
0.2805	-36.75842
0.281	-40.38391
0.2815	-30.81665
0.282	-27.6947
0.2825	-34.74426
0.283	-32.22656
0.2835	-31.62231
0.284	-30.01099
0.2845	-25.07629
0.285	-15.20691
0.2855	-12.28638
0.286	-5.94177
0.2865	3.32336
0.287	7.35168
0.2875	6.3446
0.288	1.81274
0.2885	-3.12195
0.289	1.51062
0.2895	-2.11487
0.29	-2.11487
0.2905	-4.43115
0.291	-6.04248
0.2915	-5.43823
0.292	0.30212
0.2925	2.31628
0.293	4.53186
0.2935	5.94177
0.294	4.12903
0.2945	5.13611
0.295	14.19983
0.2955	28.60107
0.296	35.34851
0.2965	30.71594
0.297	22.55859
0.2975	12.08496
0.298	5.63965
0.2985	5.63965
0.299	3.32336
0.2995	-0.70496
0.3	-7.45239
0.3005	-7.25098
0.301	-16.11328
0.3015	-12.08496
0.302	-8.8623
0.3025	-5.63965
0.303	-2.5177
0.3035	-1.51062
0.304	5.23682
0.3045	1.51062
0.305	4.63257
0.3055	-1.91345
0.306	-0.60425
0.3065	-7.25098
0.307	-6.84814
0.3075	-18.53027
0.308	-19.83948
0.3085	-15.40833
