Domenico_Di_Fonza_Left_1.c3d  



Time(s):	C_R_bicipite(μV):
0.275	5.0354
0.2755	6.54602
0.276	7.45239
0.2765	0.20142
0.277	9.06372
0.2775	6.64673
0.278	6.2439
0.2785	0.40283
0.279	-2.41699
0.2795	3.02124
0.28	1.3092
0.2805	5.84106
0.281	-8.15735
0.2815	-3.7262
0.282	-3.62549
0.2825	-6.74744
0.283	-6.3446
0.2835	-6.44531
0.284	-5.94177
0.2845	-13.29346
0.285	-8.96301
0.2855	-4.63257
0.286	0.80566
0.2865	2.5177
0.287	10.0708
0.2875	18.73169
0.288	25.47913
0.2885	0.30212
0.289	-34.24072
0.2895	-38.57117
0.29	-34.34143
0.2905	-37.26196
0.291	-48.23914
0.2915	-46.12427
0.292	-41.4917
0.2925	-33.83789
0.293	-37.96692
0.2935	-55.59082
0.294	-55.89294
0.2945	-54.48303
0.295	-48.13843
0.2955	-31.11877
0.296	-12.78992
0.2965	-4.02832
0.297	15.00549
0.2975	23.8678
0.298	30.01099
0.2985	26.88904
0.299	39.98108
0.2995	49.24622
0.3	61.12976
0.3005	74.82605
0.301	87.51526
0.3015	96.37756
0.302	93.15491
0.3025	80.16357
0.303	68.88428
0.3035	44.51294
0.304	15.71045
0.3045	2.71912
0.305	-5.0354
0.3055	-1.51062
0.306	-0.60425
0.3065	3.22266
0.307	8.8623
0.3075	14.70337
0.308	9.56726
0.3085	-7.95593
0.309	-16.71753
0.3095	-18.02673
0.31	-18.93311
0.3105	-12.28638
0.311	-16.61682
0.3115	-20.94727
0.312	-14.19983
0.3125	-12.48779
0.313	-6.94885
0.3135	-1.91345
0.314	5.13611
0.3145	22.05505
0.315	36.05347
0.3155	47.93701
0.316	62.64038
0.3165	66.16516
0.317	64.55383
0.3175	59.92126
0.318	47.23206
0.3185	36.25488
0.319	28.29895
0.3195	17.32178
0.32	1.51062
0.3205	-15.20691
0.321	-26.68762
0.3215	-38.67188
0.322	-42.19666
0.3225	-45.2179
0.323	-48.33984
0.3235	-49.24622
0.324	-44.41223
0.3245	-42.19666
0.325	-38.06763
0.3255	-32.22656
0.326	-28.70178
0.3265	-14.50195
0.327	-13.99841
0.3275	-21.04797
0.328	-24.97559
0.3285	-23.26355
0.329	-23.56567
0.3295	-18.63098
0.33	-23.16284
0.3305	-28.60107
0.331	-36.4563
0.3315	-45.62073
0.332	-74.02039
0.3325	-101.61438
0.333	-115.51208
0.3335	-120.84961
0.334	-125.58289
0.3345	-130.61829
0.335	-133.43811
0.3355	-111.08093
0.336	-76.03455
0.3365	-42.7002
0.337	-11.17859
0.3375	26.68762
0.338	57.9071
0.3385	90.43579
0.339	120.24536
0.3395	147.03369
0.34	160.9314
0.3405	160.42786
0.341	156.80237
0.3415	151.46484
0.342	136.76147
0.3425	109.26819
0.343	85.70251
0.3435	32.83081
0.344	-4.33044
0.3445	-29.50745
0.345	-48.74268
0.3455	-46.62781
0.346	-44.51294
0.3465	-55.79224
0.347	-51.66321
0.3475	-39.37683
0.348	-30.51453
0.3485	-8.96301
0.349	11.38
0.3495	29.70886
0.35	36.4563
0.3505	44.81506
0.351	43.50586
0.3515	37.56409
0.352	29.50745
0.3525	11.68213
0.353	6.2439
0.3535	-3.32336
0.354	-13.39417
0.3545	-12.89062
0.355	-11.07788
0.3555	-4.22974
0.356	4.22974
0.3565	4.02832
0.357	10.0708
0.3575	7.75452
0.358	8.66089
0.3585	11.68213
0.359	15.91187
0.3595	11.58142
0.36	9.26514
0.3605	6.2439
0.361	4.12903
0.3615	1.61133
0.362	-3.62549
0.3625	-4.73328
0.363	-6.04248
0.3635	-11.38
0.364	-16.11328
0.3645	-16.01257
0.365	-10.67505
0.3655	-11.68213
0.366	-11.68213
0.3665	-7.35168
0.367	-3.62549
0.3675	-8.66089
0.368	-6.2439
0.3685	0.60425
0.369	3.7262
0.3695	6.2439
0.37	9.76868
0.3705	1.71204
0.371	-31.32019
0.3715	-53.77808
0.372	-47.43347
0.3725	-49.14551
0.373	-46.02356
0.3735	-45.2179
0.374	-39.07471
0.3745	-30.81665
0.375	-15.40833
0.3755	1.71204
0.376	21.85364
0.3765	25.47913
0.377	29.50745
0.3775	31.11877
0.378	29.70886
0.3785	34.84497
0.379	35.75134
0.3795	40.48462
0.38	41.79382
0.3805	5.63965
0.381	-37.46338
0.3815	-55.08728
0.382	-58.91418
0.3825	-57.10144
0.383	-57.50427
0.3835	-44.91577
0.384	-31.11877
0.3845	-18.73169
0.385	5.13611
0.3855	27.09045
0.386	45.62073
0.3865	64.151
0.387	73.41614
0.3875	80.56641
0.388	77.24304
0.3885	80.36499
0.389	70.89844
0.3895	51.76392
0.39	28.19824
0.3905	14.30054
0.391	-2.92053
0.3915	-25.98267
0.392	-39.17542
0.3925	-48.23914
0.393	-51.05896
0.3935	-51.86462
0.394	-59.41772
0.3945	-64.85596
0.395	-72.20764
0.3955	-75.63171
0.396	-79.86145
0.3965	-69.08569
0.397	-56.49719
0.3975	-41.99524
0.398	-34.24072
0.3985	-30.81665
0.399	-15.40833
0.3995	0.50354
0.4	24.57275
0.4005	23.56567
0.401	19.23523
0.4015	15.71045
0.402	14.80408
0.4025	9.97009
0.403	8.56018
0.4035	1.10779
0.404	-8.05664
0.4045	-42.49878
0.405	-55.3894
0.4055	-55.08728
0.406	-50.45471
0.4065	-34.14001
0.407	-26.48621
0.4075	-20.44373
0.408	-14.60266
0.4085	4.53186
0.409	33.9386
0.4095	68.48145
0.41	81.87561
0.4105	104.83704
0.411	120.24536
0.4115	125.88501
0.412	122.96448
0.4125	120.34607
0.413	107.25403
0.4135	95.06836
0.414	76.43738
0.4145	57.20215
