Domenico_Di_Fonza_Left_2.c3d  



Time(s):	C_L_bicipite(μV):
0.2925	20.44373
0.293	18.63098
0.2935	16.21399
0.294	13.29346
0.2945	10.47363
0.295	7.45239
0.2955	12.08496
0.296	10.47363
0.2965	14.30054
0.297	12.48779
0.2975	17.32178
0.298	14.19983
0.2985	15.30762
0.299	15.40833
0.2995	16.01257
0.3	7.15027
0.3005	6.84814
0.301	14.40125
0.3015	12.5885
0.302	10.17151
0.3025	3.02124
0.303	4.43115
0.3035	0.10071
0.304	0.20142
0.3045	3.7262
0.305	1.00708
0.3055	-6.3446
0.306	-0.70496
0.3065	-4.83398
0.307	-3.42407
0.3075	-2.31628
0.308	0
0.3085	1.91345
0.309	3.8269
0.3095	7.5531
0.31	6.2439
0.3105	8.35876
0.311	1.81274
0.3115	7.15027
0.312	1.10779
0.3125	0.30212
0.313	13.59558
0.3135	7.35168
0.314	7.25098
0.3145	4.83398
0.315	8.45947
0.3155	2.01416
0.316	3.22266
0.3165	6.74744
0.317	1.00708
0.3175	3.52478
0.318	4.12903
0.3185	-0.60425
0.319	1.2085
0.3195	-1.00708
0.32	-3.62549
0.3205	0.40283
0.321	0.70496
0.3215	5.94177
0.322	4.53186
0.3225	11.78284
0.323	13.69629
0.3235	10.17151
0.324	8.96301
0.3245	6.84814
0.325	7.45239
0.3255	10.57434
0.326	15.1062
0.3265	12.48779
0.327	5.53894
0.3275	4.83398
0.328	7.45239
0.3285	4.83398
0.329	4.12903
0.3295	-11.07788
0.33	-4.83398
0.3305	-5.13611
0.331	-3.62549
0.3315	-3.02124
0.332	-6.2439
0.3325	-0.90637
0.333	0.20142
0.3335	2.71912
0.334	6.94885
0.3345	9.06372
0.335	6.54602
0.3355	3.8269
0.336	6.64673
0.3365	6.84814
0.337	-0.80566
0.3375	-3.92761
0.338	-6.3446
0.3385	1.3092
0.339	1.3092
0.3395	2.41699
0.34	1.61133
0.3405	0.90637
0.341	2.92053
0.3415	2.41699
0.342	-0.30212
0.3425	-0.60425
0.343	-0.50354
0.3435	-5.94177
0.344	-7.04956
0.3445	-0.70496
0.345	4.63257
0.3455	6.64673
0.346	2.61841
0.3465	-0.80566
0.347	-1.10779
0.3475	0.80566
0.348	-1.10779
0.3485	1.40991
0.349	6.3446
0.3495	6.2439
0.35	11.2793
0.3505	11.07788
0.351	18.8324
0.3515	18.93311
0.352	18.12744
0.3525	21.85364
0.353	15.30762
0.3535	18.12744
0.354	15.60974
0.3545	12.89062
0.355	16.61682
0.3555	9.86938
0.356	12.48779
0.3565	11.07788
0.357	12.89062
0.3575	10.97717
0.358	10.87646
0.3585	10.87646
0.359	9.66797
0.3595	6.54602
0.36	9.76868
0.3605	12.08496
0.361	15.30762
0.3615	9.56726
0.362	9.06372
0.3625	8.15735
0.363	5.74036
0.3635	7.75452
0.364	7.04956
0.3645	9.36584
0.365	13.69629
0.3655	7.5531
0.366	11.2793
0.3665	9.16443
0.367	16.81824
0.3675	21.45081
0.368	16.21399
0.3685	11.38
0.369	3.32336
0.3695	0.60425
0.37	2.92053
0.3705	1.00708
0.371	5.94177
0.3715	-1.00708
0.372	1.2085
0.3725	3.8269
0.373	6.64673
0.3735	9.97009
0.374	0.40283
0.3745	5.23682
0.375	4.12903
0.3755	4.22974
0.376	5.63965
0.3765	0
0.377	3.02124
0.3775	2.5177
0.378	-0.70496
0.3785	2.11487
0.379	-5.94177
0.3795	-0.70496
0.38	2.61841
0.3805	-0.20142
0.381	6.14319
0.3815	8.05664
0.382	6.2439
0.3825	10.67505
0.383	11.07788
0.3835	3.62549
0.384	6.54602
0.3845	9.36584
0.385	4.93469
0.3855	12.18567
0.386	9.36584
0.3865	12.48779
0.387	6.44531
0.3875	0.60425
0.388	3.42407
0.3885	3.8269
0.389	3.32336
0.3895	2.21558
0.39	3.12195
0.3905	-0.20142
0.391	2.5177
0.3915	5.94177
0.392	4.12903
0.3925	11.38
0.393	9.26514
0.3935	14.80408
0.394	11.58142
