Niccolo_Morelli_Right_1.c3d  



Time(s):	Emg_4(μV):
0.3005	28.50037
0.301	31.72302
0.3015	22.25647
0.302	23.16284
0.3025	10.77576
0.303	9.46655
0.3035	6.04248
0.304	3.32336
0.3045	3.32336
0.305	10.27222
0.3055	6.44531
0.306	8.8623
0.3065	2.41699
0.307	9.06372
0.3075	3.8269
0.308	2.01416
0.3085	4.12903
0.309	1.40991
0.3095	-1.3092
0.31	1.81274
0.3105	-0.90637
0.311	2.71912
0.3115	6.04248
0.312	-2.61841
0.3125	4.83398
0.313	-2.71912
0.3135	-0.10071
0.314	-3.52478
0.3145	-0.50354
0.315	0.80566
0.3155	-1.2085
0.316	-8.96301
0.3165	-9.66797
0.317	-15.1062
0.3175	-15.00549
0.318	-16.11328
0.3185	-13.69629
0.319	-22.86072
0.3195	-24.77417
0.32	-30.11169
0.3205	-29.70886
0.321	-30.41382
0.3215	-24.06921
0.322	-17.22107
0.3225	-21.24939
0.323	-16.11328
0.3235	-10.47363
0.324	-4.43115
0.3245	2.81982
0.325	1.3092
0.3255	0.90637
0.326	3.12195
0.3265	4.43115
0.327	3.92761
0.3275	4.02832
0.328	-1.91345
0.3285	0.40283
0.329	-9.46655
0.3295	-1.71204
0.33	-1.3092
0.3305	0.10071
0.331	0.90637
0.3315	3.22266
0.332	1.10779
0.3325	10.47363
0.333	5.43823
0.3335	8.56018
0.334	18.32886
0.3345	9.76868
0.335	4.63257
0.3355	-2.61841
0.336	-9.97009
0.3365	-24.67346
0.337	-42.39807
0.3375	-55.59082
0.338	-59.1156
0.3385	-69.68994
0.339	-75.53101
0.3395	-77.34375
0.34	-65.56091
0.3405	-64.95667
0.341	-65.46021
0.3415	-68.78357
0.342	-67.47437
0.3425	-50.75684
0.343	-41.4917
0.3435	-30.51453
0.344	-18.42957
0.3445	-8.05664
0.345	-3.32336
0.3455	11.17859
0.346	24.97559
0.3465	23.16284
0.347	24.37134
0.3475	26.3855
0.348	31.21948
0.3485	41.08887
