Antonio_Festa_Left_2.c3d  



Time(s):	B_R_bicipite(μV):
0.3265	8.96301
0.327	17.22107
0.3275	15.60974
0.328	18.93311
0.3285	25.88196
0.329	38.36975
0.3295	67.07153
0.33	93.15491
0.3305	107.75757
0.331	101.61438
0.3315	91.24146
0.332	79.96216
0.3325	81.47278
0.333	79.35791
0.3335	72.40906
0.334	54.18091
0.3345	21.55151
0.335	-15.81116
0.3355	-58.91418
0.336	-93.25562
0.3365	-121.35315
0.337	-137.36572
0.3375	-139.88342
0.338	-132.53174
0.3385	-121.65527
0.339	-101.31226
0.3395	-77.24304
0.34	-59.71985
0.3405	-49.34692
0.341	-37.56409
0.3415	-26.78833
0.342	-20.54443
0.3425	-14.80408
0.343	6.64673
0.3435	21.04797
0.344	31.11877
0.3445	35.95276
0.345	33.9386
0.3455	32.22656
0.346	35.85205
0.3465	34.94568
0.347	31.11877
0.3475	28.9032
0.348	29.91028
0.3485	37.26196
0.349	30.41382
0.3495	24.06921
0.35	22.45789
0.3505	21.14868
0.351	19.53735
0.3515	20.04089
0.352	23.56567
0.3525	14.19983
0.353	16.91895
0.3535	13.09204
0.354	13.49487
0.3545	1.3092
0.355	-3.22266
0.3555	-12.78992
0.356	-13.39417
0.3565	-11.48071
0.357	-22.55859
0.3575	-17.01965
0.358	-23.16284
0.3585	-17.52319
0.359	-9.97009
0.3595	-9.97009
0.36	-8.25806
0.3605	-3.42407
0.361	2.71912
0.3615	5.84106
0.362	12.28638
0.3625	17.22107
0.363	14.19983
0.3635	14.30054
0.364	14.09912
0.3645	16.41541
0.365	17.01965
0.3655	14.90479
0.366	18.22815
0.3665	13.29346
0.367	15.00549
0.3675	12.99133
0.368	9.06372
0.3685	9.16443
0.369	6.3446
0.3695	3.62549
0.37	4.93469
0.3705	1.00708
0.371	0.50354
0.3715	-1.00708
0.372	-14.50195
0.3725	-19.63806
0.373	-29.60815
0.3735	-37.16125
0.374	-38.57117
0.3745	-37.66479
0.375	-37.06055
0.3755	-33.9386
0.376	-27.29187
0.3765	-19.83948
0.377	-20.74585
0.3775	-16.11328
0.378	-9.86938
0.3785	3.92761
0.379	6.74744
0.3795	12.08496
0.38	20.64514
0.3805	24.67346
0.381	32.02515
0.3815	38.47046
0.382	43.30444
0.3825	41.4917
0.383	37.66479
0.3835	33.53577
0.384	22.05505
0.3845	14.50195
0.385	16.01257
0.3855	3.92761
0.386	6.3446
0.3865	6.94885
0.387	7.35168
0.3875	8.25806
0.388	13.69629
0.3885	11.48071
0.389	18.93311
0.3895	19.63806
0.39	10.97717
0.3905	12.18567
0.391	15.20691
0.3915	16.21399
0.392	16.11328
0.3925	20.64514
0.393	23.66638
0.3935	15.40833
0.394	8.35876
0.3945	-0.90637
0.395	-5.0354
0.3955	-7.45239
0.396	3.92761
0.3965	3.02124
0.397	-3.62549
0.3975	2.92053
0.398	0.40283
0.3985	8.15735
0.399	9.86938
0.3995	4.43115
0.4	6.54602
0.4005	1.51062
0.401	-0.10071
0.4015	-4.83398
0.402	-9.46655
0.4025	-20.04089
0.403	-35.34851
0.4035	-41.29028
0.404	-38.06763
0.4045	-15.40833
0.405	5.33752
0.4055	2.01416
0.406	-3.22266
0.4065	3.62549
0.407	5.23682
0.4075	-3.8269
0.408	-21.24939
0.4085	-24.97559
0.409	-39.37683
0.4095	-37.66479
0.41	-30.41382
0.4105	-22.86072
0.411	-15.1062
0.4115	-4.83398
0.412	0.50354
0.4125	8.96301
0.413	12.99133
0.4135	19.03381
0.414	31.4209
0.4145	32.12585
0.415	35.54993
0.4155	39.17542
0.416	44.31152
0.4165	41.39099
0.417	44.31152
0.4175	52.97241
0.418	43.90869
0.4185	39.88037
0.419	35.14709
0.4195	29.00391
0.42	30.91736
0.4205	33.03223
0.421	29.60815
0.4215	28.50037
0.422	27.39258
0.4225	29.80957
0.423	24.27063
0.4235	19.63806
0.424	15.30762
0.4245	7.04956
0.425	9.26514
0.4255	4.83398
0.426	12.78992
0.4265	8.7616
0.427	8.7616
0.4275	7.35168
0.428	6.84814
0.4285	5.53894
0.429	8.8623
0.4295	5.94177
0.43	-0.50354
0.4305	5.13611
0.431	5.0354
0.4315	7.15027
0.432	9.66797
0.4325	2.81982
0.433	6.74744
0.4335	5.94177
0.434	7.15027
0.4345	2.41699
0.435	0.30212
0.4355	-3.8269
0.436	0.80566
0.4365	2.41699
0.437	-3.02124
0.4375	-1.10779
0.438	-5.23682
0.4385	-5.63965
0.439	-3.62549
0.4395	-9.16443
0.44	-3.92761
0.4405	8.7616
0.441	13.59558
0.4415	17.12036
0.442	18.93311
0.4425	21.45081
0.443	18.93311
0.4435	18.32886
0.444	14.40125
0.4445	10.67505
0.445	16.81824
0.4455	12.48779
0.446	9.97009
0.4465	5.53894
0.447	-12.48779
0.4475	-20.84656
0.448	-29.60815
0.4485	-22.86072
0.449	3.52478
0.4495	11.38
0.45	21.24939
0.4505	11.48071
0.451	-7.85522
0.4515	-30.61523
0.452	-45.01648
0.4525	-53.07312
0.453	-51.96533
0.4535	-46.92993
0.454	-41.39099
0.4545	-32.7301
0.455	-25.98267
0.4555	-21.95435
0.456	-16.71753
0.4565	-4.53186
0.457	4.12903
0.4575	15.81116
0.458	21.24939
0.4585	25.27771
0.459	27.99683
0.4595	31.11877
0.46	33.23364
0.4605	41.59241
0.461	52.8717
0.4615	46.92993
0.462	43.50586
0.4625	30.41382
0.463	34.44214
0.4635	29.60815
0.464	23.56567
0.4645	9.76868
0.465	8.96301
0.4655	7.75452
0.466	3.12195
0.4665	1.81274
0.467	5.84106
0.4675	0.80566
0.468	1.3092
0.4685	7.04956
0.469	6.3446
0.4695	1.2085
0.47	4.73328
0.4705	9.26514
0.471	15.50903
0.4715	18.12744
0.472	20.94727
0.4725	26.68762
0.473	31.72302
0.4735	30.01099
0.474	23.56567
0.4745	18.22815
0.475	22.86072
0.4755	26.88904
0.476	26.68762
0.4765	23.96851
0.477	16.61682
0.4775	13.29346
0.478	16.21399
0.4785	12.08496
0.479	1.81274
0.4795	7.85522
0.48	2.71912
0.4805	-5.53894
0.481	-6.2439
0.4815	1.51062
0.482	-3.8269
0.4825	2.81982
0.483	14.30054
0.4835	19.63806
0.484	27.09045
0.4845	28.60107
0.485	29.40674
0.4855	24.97559
0.486	20.04089
0.4865	22.45789
0.487	21.85364
0.4875	16.21399
0.488	5.33752
0.4885	1.10779
0.489	-5.43823
0.4895	-4.53186
0.49	-12.48779
0.4905	-12.38708
0.491	-15.71045
0.4915	-21.95435
0.492	-18.63098
0.4925	-18.53027
0.493	-23.76709
0.4935	-25.177
0.494	-26.88904
0.4945	-19.03381
0.495	-17.92603
0.4955	-14.80408
0.496	-12.28638
0.4965	-10.97717
0.497	-4.22974
0.4975	-1.71204
0.498	3.02124
0.4985	4.83398
0.499	4.43115
0.4995	15.91187
0.5	14.19983
0.5005	2.92053
0.501	-6.94885
0.5015	-9.97009
0.502	-9.46655
0.5025	-6.14319
0.503	3.8269
0.5035	3.8269
0.504	3.12195
0.5045	-2.92053
0.505	-10.17151
0.5055	-14.90479
0.506	-20.74585
0.5065	-16.61682
0.507	-7.85522
0.5075	-12.18567
0.508	-9.06372
0.5085	-6.2439
0.509	0.20142
0.5095	2.21558
0.51	10.0708
0.5105	18.73169
0.511	28.39966
0.5115	49.74976
0.512	58.20923
0.5125	59.31702
0.513	63.34534
0.5135	61.6333
0.514	55.59082
0.5145	53.77808
0.515	53.37524
0.5155	48.84338
0.516	49.34692
0.5165	43.80798
0.517	37.86621
0.5175	26.18408
0.518	22.35718
0.5185	18.63098
0.519	3.12195
0.5195	-17.22107
0.52	-16.3147
0.5205	-19.03381
0.521	-19.13452
0.5215	-15.81116
0.522	-3.02124
0.5225	5.84106
0.523	10.47363
0.5235	22.76001
0.524	36.95984
0.5245	45.72144
0.525	47.03064
0.5255	50.95825
0.526	57.8064
0.5265	55.79224
0.527	50.354
0.5275	43.90869
0.528	43.00232
0.5285	37.66479
0.529	38.57117
0.5295	33.53577
0.53	28.80249
0.5305	18.63098
0.531	14.40125
0.5315	7.04956
0.532	-8.66089
0.5325	-15.60974
0.533	-22.76001
0.5335	-24.27063
0.534	-30.2124
0.5345	-18.02673
0.535	-18.63098
0.5355	-12.28638
0.536	-5.74036
0.5365	4.63257
0.537	9.26514
0.5375	14.90479
0.538	14.40125
0.5385	14.50195
0.539	8.05664
0.5395	14.70337
0.54	10.37292
0.5405	-2.5177
0.541	-5.13611
0.5415	-5.74036
0.542	-18.63098
0.5425	-39.67896
0.543	-52.26746
0.5435	-54.78516
0.544	-61.43188
0.5445	-55.08728
0.545	-54.18091
0.5455	-46.82922
0.546	-40.48462
0.5465	-33.23364
0.547	-12.08496
0.5475	10.67505
0.548	26.3855
0.5485	30.71594
0.549	36.4563
0.5495	51.66321
0.55	54.0802
0.5505	52.771
0.551	59.82056
0.5515	56.69861
0.552	71.60339
0.5525	77.24304
0.553	75.32959
0.5535	54.38232
0.554	43.60657
0.5545	34.03931
0.555	39.37683
0.5555	57.50427
0.556	58.10852
0.5565	49.54834
0.557	44.91577
0.5575	45.92285
0.558	47.03064
0.5585	34.34143
0.559	17.12036
0.5595	-4.12903
0.56	-23.06213
0.5605	-37.36267
0.561	-44.31152
0.5615	-42.90161
0.562	-36.25488
0.5625	-34.94568
0.563	-23.96851
0.5635	-8.96301
0.564	-8.56018
0.5645	0
0.565	-4.83398
0.5655	-4.63257
0.566	-11.58142
0.5665	-13.797
0.567	-10.47363
0.5675	-8.45947
0.568	2.01416
0.5685	8.35876
0.569	-2.41699
0.5695	2.81982
0.57	3.12195
0.5705	-5.53894
0.571	-1.3092
0.5715	-1.00708
0.572	-3.52478
0.5725	-3.42407
0.573	2.5177
0.5735	8.56018
0.574	10.77576
0.5745	10.47363
0.575	-4.63257
0.5755	1.40991
0.576	12.89062
0.5765	11.88354
0.577	20.64514
0.5775	17.52319
0.578	29.70886
0.5785	25.88196
0.579	23.26355
0.5795	18.73169
0.58	22.35718
0.5805	21.75293
0.581	16.91895
0.5815	13.99841
0.582	8.56018
0.5825	18.22815
0.583	26.78833
0.5835	35.44922
0.584	42.39807
0.5845	42.7002
0.585	51.46179
0.5855	56.49719
0.586	53.17383
0.5865	41.39099
0.587	38.06763
0.5875	28.80249
0.588	19.13452
0.5885	16.61682
0.589	9.26514
0.5895	9.76868
0.59	-4.43115
0.5905	-5.43823
0.591	-4.02832
0.5915	-14.40125
0.592	-15.60974
0.5925	-14.30054
0.593	-10.17151
0.5935	-10.97717
0.594	-11.38
0.5945	-10.97717
0.595	1.51062
0.5955	6.14319
0.596	18.42957
0.5965	23.76709
0.597	15.30762
0.5975	17.72461
0.598	22.25647
0.5985	24.47205
0.599	21.85364
0.5995	24.06921
0.6	14.80408
0.6005	11.88354
0.601	-7.75452
0.6015	-17.22107
0.602	-22.96143
0.6025	-42.90161
0.603	-58.51135
0.6035	-73.81897
0.604	-59.92126
0.6045	-52.36816
0.605	-39.67896
0.6055	-28.80249
0.606	-17.72461
0.6065	-4.12903
0.607	13.59558
0.6075	19.13452
0.608	17.42249
0.6085	16.81824
0.609	22.15576
0.6095	25.88196
0.61	30.2124
0.6105	40.58533
0.611	34.24072
0.6115	20.24231
0.612	-4.53186
0.6125	-26.48621
0.613	-27.19116
0.6135	-17.92603
0.614	-24.97559
0.6145	-25.98267
0.615	-14.70337
0.6155	-13.49487
0.616	-1.2085
0.6165	9.86938
0.617	18.02673
0.6175	17.82532
0.618	16.81824
0.6185	17.6239
0.619	21.95435
0.6195	21.65222
0.62	24.87488
0.6205	18.32886
0.621	14.70337
0.6215	18.63098
0.622	9.76868
0.6225	0.70496
0.623	3.42407
0.6235	3.8269
0.624	3.42407
0.6245	1.40991
0.625	4.73328
0.6255	4.73328
0.626	20.1416
0.6265	42.90161
0.627	59.21631
0.6275	54.58374
0.628	48.23914
0.6285	39.57825
0.629	19.03381
0.6295	11.68213
0.63	3.92761
0.6305	-9.06372
0.631	-18.42957
0.6315	-18.02673
0.632	-17.92603
0.6325	-21.14868
0.633	-27.29187
0.6335	-31.52161
0.634	-29.00391
