Francesco_Luisi_Right_3.c3d  



Time(s):	C_R_bicipite(μV):
0.308	6.44531
0.3085	9.86938
0.309	7.85522
0.3095	2.01416
0.31	7.65381
0.3105	7.75452
0.311	7.5531
0.3115	7.45239
0.312	5.53894
0.3125	4.73328
0.313	1.3092
0.3135	-1.81274
0.314	-1.81274
0.3145	-4.43115
0.315	5.23682
0.3155	3.42407
0.316	2.21558
0.3165	3.22266
0.317	-0.60425
0.3175	2.92053
0.318	1.2085
0.3185	-1.00708
0.319	-2.5177
0.3195	-2.21558
0.32	0.50354
0.3205	-5.43823
0.321	-0.70496
0.3215	-3.12195
0.322	-3.92761
0.3225	-2.5177
0.323	0.20142
0.3235	4.02832
0.324	-0.10071
0.3245	-1.00708
0.325	-0.40283
0.3255	3.12195
0.326	1.71204
0.3265	1.3092
0.327	3.52478
0.3275	0.70496
0.328	0.40283
0.3285	-3.22266
0.329	3.62549
0.3295	-1.81274
0.33	0
0.3305	-1.40991
0.331	-4.93469
0.3315	-4.43115
0.332	-2.61841
0.3325	-4.12903
0.333	-0.60425
0.3335	-0.60425
0.334	-0.70496
0.3345	1.91345
0.335	-0.50354
0.3355	1.2085
0.336	-1.71204
0.3365	-5.94177
0.337	-6.2439
0.3375	2.11487
0.338	-1.40991
0.3385	-6.94885
0.339	-3.22266
0.3395	-2.01416
0.34	1.91345
0.3405	-4.93469
0.341	-1.10779
0.3415	-3.7262
0.342	1.71204
0.3425	-1.40991
0.343	1.71204
0.3435	-1.2085
0.344	-0.80566
0.3445	-3.92761
0.345	2.11487
0.3455	0.30212
0.346	0.90637
0.3465	-2.81982
0.347	-5.43823
0.3475	-8.7616
0.348	-4.12903
0.3485	-6.3446
0.349	-3.42407
0.3495	-2.71912
0.35	-1.71204
0.3505	-5.43823
0.351	0.60425
0.3515	0.60425
0.352	-7.45239
0.3525	-5.23682
0.353	-4.12903
0.3535	-1.2085
0.354	-2.31628
0.3545	-5.13611
0.355	-4.83398
0.3555	-0.20142
0.356	-4.93469
0.3565	-2.31628
0.357	1.51062
0.3575	-5.94177
0.358	-4.53186
0.3585	-6.14319
0.359	-8.8623
0.3595	-3.02124
0.36	-1.10779
0.3605	-2.5177
0.361	-6.14319
0.3615	-5.13611
0.362	-7.85522
0.3625	0.30212
0.363	-1.81274
0.3635	-4.22974
0.364	-5.0354
0.3645	-2.81982
0.365	-6.84814
0.3655	-6.44531
0.366	-7.65381
0.3665	-3.8269
0.367	-9.06372
0.3675	-6.2439
0.368	0
0.3685	-4.83398
0.369	-0.70496
0.3695	-4.02832
0.37	-3.8269
0.3705	-3.52478
0.371	-8.56018
0.3715	-9.46655
0.372	-5.23682
0.3725	-1.81274
0.373	-7.45239
0.3735	-5.43823
0.374	-2.31628
