Gabriele_Carluccio_Left_1.c3d  



Time(s):	C_L_bicipite(μV):
0.3315	29.40674
0.332	42.29736
0.3325	42.8009
0.333	42.29736
0.3335	43.40515
0.334	40.2832
0.3345	34.64355
0.335	41.69312
0.3355	68.58215
0.336	85.90393
0.3365	84.89685
0.337	68.98499
0.3375	46.12427
0.338	11.68213
0.3385	-10.27222
0.339	-29.70886
0.3395	-47.33276
0.34	-57.50427
0.3405	-58.30994
0.341	-70.79773
0.3415	-81.27136
0.342	-81.67419
0.3425	-79.66003
0.343	-73.41614
0.3435	-72.40906
0.344	-70.69702
0.3445	-62.33826
0.345	-57.8064
0.3455	-41.4917
0.346	-30.91736
0.3465	-18.63098
0.347	-1.51062
0.3475	16.01257
0.348	6.54602
0.3485	1.3092
0.349	2.81982
0.3495	2.31628
0.35	24.57275
0.3505	61.02905
0.351	85.40039
0.3515	103.02429
0.352	117.12341
0.3525	116.72058
0.353	101.61438
0.3535	104.23279
0.354	92.04712
0.3545	89.52942
0.355	93.65845
0.3555	90.13367
0.356	67.77649
0.3565	36.65771
0.357	2.92053
0.3575	-35.54993
0.358	-60.62622
0.3585	-85.09827
0.359	-102.62146
0.3595	-110.57739
0.36	-117.62695
0.3605	-97.28394
0.361	-78.14941
0.3615	-51.66321
0.362	-23.16284
0.3625	10.87646
0.363	36.4563
0.3635	44.11011
0.364	58.10852
0.3645	74.12109
0.365	81.87561
0.3655	94.76624
0.366	110.27527
0.3665	104.3335
0.367	81.47278
0.3675	57.30286
0.368	56.39648
0.3685	143.50891
0.369	312.69836
0.3695	422.26868
0.37	425.69275
0.3705	364.46228
0.371	244.31763
0.3715	129.61121
0.372	11.48071
0.3725	-84.99756
0.373	-176.84326
0.3735	-197.18628
0.374	-115.31067
0.3745	-5.43823
0.375	53.17383
0.3755	64.65454
0.376	73.21472
0.3765	68.28003
0.377	24.57275
0.3775	-41.69312
0.378	-134.5459
0.3785	-200.40894
0.379	-229.61426
0.3795	-222.16187
0.38	-183.79211
0.3805	-154.38538
0.381	-120.24536
0.3815	-83.88977
0.382	-59.82056
0.3825	-47.13135
0.383	-33.33435
0.3835	-31.4209
0.384	-36.55701
0.3845	-8.05664
0.385	20.64514
0.3855	49.24622
0.386	59.1156
0.3865	54.38232
0.387	50.95825
0.3875	91.24146
0.388	118.63403
0.3885	109.3689
0.389	66.26587
0.3895	22.76001
0.39	-21.55151
0.3905	-64.95667
0.391	-109.4696
0.3915	-148.3429
