Franco_Iuliano_Right_2.c3d  



Time(s):	C_R_bicipite(μV):
0.233	2.81982
0.2335	1.61133
0.234	-1.61133
0.2345	-1.51062
0.235	0.40283
0.2355	-1.91345
0.236	-3.62549
0.2365	-1.10779
0.237	0.20142
0.2375	0.50354
0.238	-8.66089
0.2385	-6.2439
0.239	-2.71912
0.2395	-7.85522
0.24	-10.0708
0.2405	-4.73328
0.241	-8.05664
0.2415	-10.17151
0.242	-6.64673
0.2425	-8.8623
0.243	-12.99133
0.2435	-7.95593
0.244	-7.85522
0.2445	-10.77576
0.245	-2.11487
0.2455	11.58142
0.246	9.46655
0.2465	4.93469
0.247	-0.40283
0.2475	7.75452
0.248	4.73328
0.2485	1.40991
0.249	-1.81274
0.2495	1.40991
0.25	0.50354
0.2505	6.3446
0.251	-1.61133
0.2515	4.22974
0.252	7.25098
0.2525	5.23682
0.253	1.3092
0.2535	3.7262
0.254	7.75452
0.2545	3.8269
0.255	-0.80566
0.2555	-4.22974
0.256	-8.05664
0.2565	-2.71912
0.257	-9.16443
0.2575	-5.13611
0.258	-2.81982
0.2585	-4.93469
0.259	1.81274
0.2595	1.61133
0.26	3.22266
0.2605	3.42407
0.261	-2.81982
0.2615	0.60425
0.262	4.43115
0.2625	-0.10071
0.263	-3.52478
0.2635	0.30212
0.264	-3.62549
0.2645	-5.94177
0.265	-1.40991
0.2655	-1.2085
0.266	-3.7262
0.2665	-3.22266
0.267	-1.3092
0.2675	2.61841
0.268	2.61841
0.2685	-0.30212
0.269	1.2085
0.2695	3.22266
0.27	-3.02124
0.2705	-0.70496
0.271	1.91345
0.2715	-0.80566
0.272	5.23682
0.2725	5.0354
0.273	7.5531
0.2735	4.63257
0.274	2.21558
0.2745	-4.02832
0.275	-4.93469
0.2755	-0.70496
0.276	-2.01416
0.2765	2.41699
0.277	4.83398
0.2775	4.83398
0.278	2.92053
0.2785	4.02832
0.279	-0.40283
0.2795	-1.00708
0.28	4.53186
0.2805	2.11487
0.281	5.43823
0.2815	2.01416
0.282	1.51062
0.2825	-3.42407
0.283	1.61133
0.2835	-1.91345
0.284	-0.50354
0.2845	-5.23682
0.285	1.3092
0.2855	6.04248
0.286	4.33044
0.2865	-0.60425
0.287	0.20142
0.2875	-2.21558
0.288	-1.3092
0.2885	-4.53186
0.289	-5.43823
0.2895	-5.33752
0.29	-0.50354
0.2905	-1.3092
0.291	-2.81982
0.2915	-5.43823
0.292	-7.5531
0.2925	-2.5177
0.293	-0.10071
0.2935	5.63965
0.294	11.48071
0.2945	7.85522
0.295	5.84106
0.2955	4.93469
0.296	4.33044
0.2965	2.41699
0.297	1.3092
0.2975	5.74036
0.298	-2.92053
0.2985	-0.20142
0.299	-4.22974
0.2995	2.5177
0.3	-0.70496
0.3005	-4.73328
0.301	0.20142
0.3015	7.5531
0.302	2.11487
0.3025	0.60425
0.303	4.43115
0.3035	0.20142
0.304	-2.92053
0.3045	-7.75452
0.305	-10.17151
0.3055	-7.15027
0.306	-0.80566
0.3065	-2.01416
0.307	-4.73328
0.3075	0.50354
0.308	5.23682
0.3085	5.23682
0.309	0.30212
0.3095	-2.92053
0.31	5.43823
0.3105	-0.50354
