Niccolo_Morelli_Left_2.c3d  



Time(s):	B_R_bicipite(μV):
0.2815	-1.40991
0.282	-0.70496
0.2825	2.5177
0.283	4.33044
0.2835	1.10779
0.284	6.64673
0.2845	8.35876
0.285	0.10071
0.2855	3.02124
0.286	-1.00708
0.2865	1.71204
0.287	0.10071
0.2875	4.53186
0.288	6.04248
0.2885	4.02832
0.289	3.22266
0.2895	5.74036
0.29	3.7262
0.2905	6.74744
0.291	0.60425
0.2915	5.63965
0.292	1.61133
0.2925	9.76868
0.293	9.06372
0.2935	6.54602
0.294	5.33752
0.2945	2.61841
0.295	9.56726
0.2955	7.04956
0.296	9.76868
0.2965	8.8623
0.297	9.36584
0.2975	7.04956
0.298	4.33044
0.2985	9.66797
0.299	9.76868
0.2995	6.2439
0.3	12.78992
0.3005	9.76868
0.301	11.07788
0.3015	12.68921
0.302	13.49487
0.3025	12.78992
0.303	16.21399
0.3035	12.5885
0.304	9.76868
0.3045	11.07788
0.305	6.3446
0.3055	4.12903
0.306	7.15027
0.3065	6.84814
0.307	9.36584
0.3075	5.63965
0.308	5.53894
0.3085	4.02832
0.309	6.64673
0.3095	2.81982
0.31	4.22974
0.3105	5.23682
0.311	4.33044
0.3115	1.71204
0.312	3.7262
0.3125	5.43823
0.313	4.63257
0.3135	3.42407
0.314	5.43823
0.3145	8.8623
0.315	11.58142
0.3155	3.02124
0.316	8.7616
0.3165	2.81982
0.317	9.06372
0.3175	9.16443
0.318	7.04956
0.3185	5.0354
0.319	9.46655
0.3195	2.61841
0.32	0.90637
0.3205	3.22266
0.321	0.90637
0.3215	4.33044
0.322	4.83398
0.3225	7.45239
0.323	6.2439
0.3235	2.92053
0.324	9.97009
0.3245	5.63965
0.325	3.7262
0.3255	0.20142
0.326	1.61133
0.3265	3.8269
0.327	5.63965
0.3275	6.44531
0.328	4.83398
0.3285	5.74036
0.329	5.13611
0.3295	8.66089
0.33	8.7616
0.3305	4.12903
0.331	5.74036
0.3315	7.25098
0.332	4.22974
0.3325	4.63257
0.333	4.43115
0.3335	7.15027
0.334	5.94177
0.3345	9.66797
0.335	14.19983
0.3355	8.66089
0.336	14.50195
0.3365	10.67505
0.337	4.73328
0.3375	11.38
0.338	5.84106
0.3385	8.05664
0.339	4.83398
0.3395	4.73328
0.34	2.01416
0.3405	6.44531
0.341	4.22974
0.3415	7.35168
0.342	-0.70496
0.3425	7.5531
0.343	2.01416
0.3435	5.23682
0.344	2.21558
0.3445	2.01416
0.345	7.5531
0.3455	5.43823
0.346	-0.20142
0.3465	0.90637
0.347	4.02832
0.3475	4.12903
0.348	1.10779
0.3485	6.64673
0.349	7.5531
0.3495	8.15735
0.35	6.84814
0.3505	5.84106
0.351	5.63965
0.3515	5.74036
0.352	5.0354
0.3525	-3.42407
0.353	2.92053
0.3535	4.33044
0.354	-0.10071
0.3545	7.95593
0.355	4.43115
0.3555	1.00708
0.356	1.2085
0.3565	-3.02124
0.357	0.40283
0.3575	3.22266
0.358	1.10779
0.3585	5.0354
0.359	1.2085
0.3595	1.91345
0.36	1.51062
0.3605	3.7262
0.361	6.2439
0.3615	0
0.362	2.61841
0.3625	-6.2439
0.363	10.17151
0.3635	9.16443
0.364	2.21558
0.3645	1.00708
0.365	3.7262
0.3655	5.33752
0.366	2.11487
0.3665	7.65381
0.367	8.66089
0.3675	4.53186
0.368	3.22266
0.3685	4.63257
0.369	5.23682
0.3695	2.21558
0.37	5.33752
0.3705	0.20142
0.371	0.90637
0.3715	7.04956
0.372	1.2085
0.3725	0.40283
0.373	0.60425
0.3735	1.91345
0.374	5.43823
0.3745	6.3446
0.375	8.15735
0.3755	9.97009
0.376	5.74036
0.3765	8.15735
0.377	8.45947
0.3775	7.04956
0.378	9.26514
0.3785	10.0708
0.379	6.3446
0.3795	5.43823
0.38	6.64673
0.3805	6.54602
0.381	8.35876
0.3815	7.75452
0.382	1.2085
0.3825	4.33044
0.383	1.2085
0.3835	4.63257
0.384	5.43823
0.3845	10.0708
0.385	2.71912
0.3855	4.33044
0.386	8.96301
0.3865	9.46655
0.387	6.54602
0.3875	5.0354
0.388	2.5177
0.3885	-1.00708
0.389	0.40283
0.3895	1.61133
0.39	8.45947
0.3905	5.13611
0.391	3.92761
0.3915	2.31628
0.392	5.13611
0.3925	1.61133
0.393	1.91345
0.3935	-5.0354
0.394	-2.41699
0.3945	-2.92053
0.395	-0.70496
0.3955	0.30212
0.396	4.22974
0.3965	-4.53186
0.397	2.81982
0.3975	-1.81274
0.398	2.01416
0.3985	-1.61133
0.399	-3.8269
0.3995	-2.31628
0.4	-1.81274
0.4005	-1.81274
0.401	-2.41699
0.4015	0.80566
0.402	2.31628
0.4025	-2.41699
0.403	-9.86938
0.4035	-3.02124
0.404	-2.21558
0.4045	1.3092
0.405	-1.91345
0.4055	-0.70496
0.406	-0.20142
0.4065	-1.10779
0.407	-0.70496
0.4075	-2.5177
0.408	0.30212
0.4085	0.50354
0.409	0.40283
0.4095	-4.02832
0.41	-4.22974
0.4105	0.40283
0.411	-4.02832
0.4115	1.81274
0.412	7.45239
0.4125	2.21558
0.413	4.12903
0.4135	4.63257
0.414	6.04248
0.4145	2.41699
0.415	4.73328
0.4155	-2.41699
0.416	2.21558
0.4165	5.74036
0.417	0.60425
0.4175	2.21558
0.418	6.64673
0.4185	1.3092
0.419	4.73328
0.4195	4.93469
0.42	11.07788
0.4205	6.3446
0.421	6.04248
0.4215	3.12195
0.422	6.64673
0.4225	9.26514
0.423	7.15027
0.4235	4.22974
0.424	5.94177
0.4245	4.53186
0.425	-1.2085
0.4255	2.5177
0.426	3.42407
0.4265	0.40283
0.427	7.5531
0.4275	2.71912
0.428	2.81982
0.4285	5.74036
0.429	3.62549
0.4295	-0.60425
0.43	1.10779
0.4305	4.53186
0.431	6.84814
0.4315	4.22974
0.432	8.8623
0.4325	6.54602
0.433	7.25098
0.4335	12.18567
0.434	6.64673
0.4345	6.44531
0.435	5.13611
0.4355	8.8623
0.436	9.66797
0.4365	4.12903
0.437	7.65381
0.4375	7.45239
0.438	6.44531
0.4385	6.3446
0.439	6.3446
0.4395	4.22974
0.44	4.73328
0.4405	5.13611
0.441	2.5177
0.4415	1.10779
0.442	4.63257
0.4425	7.25098
0.443	9.97009
0.4435	6.2439
0.444	10.0708
0.4445	9.86938
0.445	6.84814
0.4455	5.63965
0.446	3.02124
0.4465	6.3446
0.447	6.44531
0.4475	13.797
0.448	4.63257
0.4485	8.35876
0.449	8.66089
0.4495	7.45239
0.45	5.33752
0.4505	2.5177
0.451	8.45947
0.4515	2.81982
0.452	6.64673
0.4525	5.84106
0.453	3.22266
0.4535	-0.70496
0.454	2.01416
0.4545	1.81274
0.455	4.83398
0.4555	5.63965
0.456	8.05664
0.4565	-0.50354
0.457	5.84106
0.4575	6.04248
0.458	4.93469
0.4585	6.64673
0.459	6.2439
0.4595	4.53186
0.46	7.25098
0.4605	2.21558
0.461	6.44531
0.4615	3.92761
0.462	5.84106
0.4625	3.8269
0.463	4.63257
0.4635	6.04248
0.464	5.74036
0.4645	7.15027
0.465	5.94177
0.4655	9.56726
0.466	6.04248
0.4665	1.40991
0.467	7.75452
0.4675	6.04248
0.468	5.13611
0.4685	4.12903
0.469	6.14319
0.4695	-3.52478
0.47	-1.71204
0.4705	0.10071
0.471	6.3446
0.4715	6.14319
0.472	8.8623
0.4725	7.85522
0.473	9.26514
0.4735	8.25806
0.474	1.81274
0.4745	1.10779
0.475	9.06372
0.4755	9.16443
0.476	11.48071
0.4765	9.26514
0.477	13.99841
0.4775	9.06372
0.478	6.44531
0.4785	11.88354
0.479	5.0354
0.4795	9.26514
0.48	8.35876
0.4805	11.48071
0.481	1.40991
0.4815	5.84106
0.482	4.02832
0.4825	2.41699
0.483	3.12195
0.4835	2.5177
0.484	5.23682
0.4845	4.12903
0.485	4.02832
0.4855	11.07788
0.486	8.56018
0.4865	7.04956
0.487	7.15027
0.4875	8.05664
0.488	16.41541
0.4885	17.32178
0.489	5.53894
0.4895	11.98425
0.49	9.66797
0.4905	11.68213
0.491	10.97717
0.4915	13.797
0.492	5.53894
0.4925	12.89062
0.493	8.35876
0.4935	6.64673
0.494	6.84814
0.4945	6.3446
0.495	3.52478
0.4955	9.76868
0.496	8.05664
0.4965	9.16443
0.497	9.56726
0.4975	6.3446
0.498	4.02832
0.4985	6.74744
0.499	8.35876
0.4995	10.77576
0.5	8.7616
0.5005	3.42407
0.501	4.93469
0.5015	8.25806
0.502	9.56726
0.5025	7.45239
0.503	6.14319
0.5035	7.5531
0.504	3.32336
0.5045	3.42407
0.505	7.04956
0.5055	5.0354
0.506	7.04956
0.5065	6.54602
0.507	7.95593
0.5075	6.44531
0.508	7.04956
0.5085	7.45239
0.509	9.46655
0.5095	7.35168
0.51	0.40283
0.5105	1.51062
0.511	3.62549
0.5115	5.94177
0.512	4.22974
0.5125	3.22266
0.513	9.97009
0.5135	7.35168
0.514	9.26514
0.5145	9.36584
0.515	11.17859
0.5155	13.59558
0.516	7.75452
0.5165	8.45947
0.517	7.15027
0.5175	9.06372
0.518	8.15735
0.5185	6.04248
0.519	3.8269
0.5195	10.57434
0.52	2.11487
0.5205	4.43115
0.521	1.51062
0.5215	-2.61841
0.522	-0.50354
0.5225	2.21558
0.523	10.37292
0.5235	6.2439
0.524	1.3092
0.5245	5.84106
0.525	3.32336
0.5255	0.30212
0.526	4.33044
0.5265	-3.42407
0.527	4.12903
0.5275	1.3092
0.528	2.41699
0.5285	1.10779
0.529	5.84106
0.5295	1.91345
0.53	6.84814
0.5305	5.53894
0.531	9.06372
0.5315	4.63257
0.532	6.44531
0.5325	8.96301
0.533	-1.81274
0.5335	4.33044
0.534	-0.30212
0.5345	5.94177
0.535	2.81982
0.5355	6.04248
0.536	9.26514
0.5365	3.32336
0.537	0.60425
0.5375	-0.60425
0.538	8.25806
0.5385	-3.62549
0.539	-0.10071
0.5395	7.04956
0.54	-3.02124
0.5405	-1.2085
0.541	-3.62549
0.5415	-2.21558
0.542	0.40283
0.5425	-3.32336
0.543	-3.22266
0.5435	-3.02124
0.544	-3.52478
0.5445	-4.22974
0.545	1.71204
0.5455	3.92761
0.546	-1.81274
0.5465	-3.12195
0.547	0.90637
0.5475	3.8269
0.548	2.5177
0.5485	6.2439
0.549	8.96301
0.5495	4.12903
0.55	7.65381
0.5505	7.65381
0.551	3.12195
0.5515	4.33044
0.552	2.5177
0.5525	0.80566
0.553	6.64673
0.5535	1.00708
0.554	6.44531
0.5545	5.43823
0.555	5.43823
0.5555	7.04956
0.556	7.85522
0.5565	11.68213
0.557	8.8623
0.5575	11.78284
0.558	9.26514
0.5585	9.56726
0.559	10.37292
0.5595	7.5531
0.56	9.36584
0.5605	8.45947
0.561	8.56018
0.5615	6.44531
0.562	12.78992
0.5625	8.15735
0.563	6.94885
0.5635	5.13611
0.564	4.12903
0.5645	6.54602
0.565	11.78284
0.5655	9.46655
0.566	7.45239
0.5665	4.53186
0.567	9.06372
0.5675	2.71912
0.568	4.93469
0.5685	9.06372
0.569	8.96301
0.5695	6.44531
0.57	8.25806
0.5705	12.18567
0.571	8.7616
0.5715	12.38708
0.572	6.14319
0.5725	1.61133
0.573	0.30212
0.5735	6.54602
0.574	5.74036
0.5745	5.33752
0.575	7.35168
0.5755	8.96301
0.576	4.93469
0.5765	6.3446
0.577	15.30762
0.5775	9.86938
0.578	2.81982
0.5785	6.04248
0.579	6.44531
0.5795	3.92761
0.58	5.0354
0.5805	7.65381
0.581	5.0354
0.5815	1.40991
0.582	4.63257
0.5825	0
0.583	0.60425
0.5835	1.91345
0.584	5.0354
0.5845	3.92761
0.585	6.54602
0.5855	4.33044
0.586	11.98425
0.5865	6.3446
0.587	8.45947
0.5875	7.45239
0.588	8.05664
0.5885	6.84814
0.589	5.33752
0.5895	1.40991
0.59	6.3446
0.5905	8.05664
0.591	7.35168
0.5915	7.35168
0.592	4.73328
0.5925	9.56726
0.593	7.04956
0.5935	14.60266
0.594	7.15027
0.5945	5.94177
0.595	3.8269
0.5955	5.43823
0.596	4.73328
0.5965	4.02832
0.597	3.62549
0.5975	6.84814
0.598	1.91345
0.5985	1.51062
0.599	2.11487
0.5995	6.04248
0.6	-1.3092
0.6005	-1.81274
0.601	4.22974
0.6015	2.41699
0.602	4.53186
0.6025	6.44531
0.603	0.50354
0.6035	0
0.604	-0.30212
0.6045	5.23682
0.605	1.81274
0.6055	4.02832
0.606	0
0.6065	1.51062
0.607	9.66797
0.6075	1.2085
0.608	7.15027
0.6085	3.12195
0.609	6.3446
0.6095	4.63257
0.61	0.90637
0.6105	1.91345
0.611	0.30212
0.6115	6.74744
0.612	-1.40991
0.6125	-4.93469
0.613	-5.53894
0.6135	-4.93469
0.614	0.80566
0.6145	-0.30212
0.615	3.62549
0.6155	1.00708
0.616	-1.71204
0.6165	-1.61133
0.617	0
0.6175	2.71912
0.618	4.43115
0.6185	6.84814
0.619	5.74036
0.6195	2.5177
0.62	5.74036
0.6205	4.93469
0.621	2.21558
0.6215	1.81274
0.622	1.2085
0.6225	-0.10071
0.623	1.81274
0.6235	4.83398
0.624	4.53186
0.6245	4.83398
0.625	9.06372
0.6255	6.04248
0.626	9.16443
0.6265	8.35876
0.627	3.02124
0.6275	5.84106
0.628	8.66089
0.6285	4.53186
0.629	7.5531
0.6295	5.0354
0.63	7.25098
0.6305	7.35168
0.631	8.45947
0.6315	10.27222
0.632	6.64673
0.6325	3.52478
0.633	2.61841
0.6335	9.97009
0.634	2.41699
0.6345	5.33752
0.635	6.64673
0.6355	5.23682
0.636	5.43823
0.6365	11.38
0.637	8.25806
0.6375	3.8269
0.638	4.22974
0.6385	7.5531
0.639	5.84106
0.6395	7.25098
0.64	3.32336
0.6405	2.71912
0.641	2.92053
0.6415	2.81982
0.642	0.60425
0.6425	0.60425
0.643	-2.71912
0.6435	3.32336
0.644	1.71204
0.6445	-0.60425
0.645	0.60425
0.6455	2.21558
0.646	-1.40991
0.6465	1.81274
0.647	-1.2085
0.6475	0.40283
0.648	2.11487
0.6485	6.04248
0.649	5.23682
0.6495	1.81274
0.65	4.12903
0.6505	2.81982
0.651	0.30212
